tanggal,Yield_BRA_MAY_54,Yield_CHIL_JAN_54,Yield_COL_NOV_54,Yield_INDO_SEP_54,Yield_KSA_JAN_54,Yield_MEX_MAY_55,Yield_SOAF_NOV_54,Yield_US_CT_30Y,Spread_BRA_MAY_54,Spread_CHIL_JAN_54,Spread_COL_NOV_54,Spread_INDO_SEP_54,Spread_KSA_JAN_54,Spread_MEX_MAY_55,Spread_SOAF_NOV_54,Yield_BRA_JAN_56,Spread_BRA_JAN_56
2016-05-02,6.491,,5.308,5.112,,4.662,,,,,,,,,,,
2016-05-03,6.514,,5.358,5.119,,4.677,,,,,,,,,,,
2016-05-04,6.519,,5.436,5.157,,4.668,,,,,,,,,,,
2016-05-05,6.519,,5.436,5.128,,4.661,,,,,,,,,,,
2016-05-06,6.465,,5.429,5.128,,4.664,,,,,,,,,,,
2016-05-09,6.458,,5.428,5.1,,4.67,,,,,,,,,,,
2016-05-10,6.376,,5.388,5.064,,4.649,,,,,,,,,,,
2016-05-11,6.259,,5.314,4.999,,4.624,,,,,,,,,,,
2016-05-12,6.269,,5.275,4.991,,4.648,,,,,,,,,,,
2016-05-13,6.285,,5.275,4.995,,4.657,,,,,,,,,,,
2016-05-16,6.253,,5.259,5.001,,4.659,,,,,,,,,,,
2016-05-17,6.24,,5.262,4.995,,4.67,,,,,,,,,,,
2016-05-18,6.384,,5.396,5.013,,4.76,,,,,,,,,,,
2016-05-19,6.52,,5.512,5.204,,4.839,,,,,,,,,,,
2016-05-20,6.509,,5.552,5.116,,4.838,,,,,,,,,,,
2016-05-23,6.566,,5.573,5.101,,4.859,,,,,,,,,,,
2016-05-24,6.583,,5.553,5.141,,4.853,,,,,,,,,,,
2016-05-25,6.564,,5.52,5.139,,4.83,,,,,,,,,,,
2016-05-26,6.554,,5.473,5.157,,4.789,,,,,,,,,,,
2016-05-27,6.549,,5.448,5.127,,4.761,,,,,,,,,,,
2016-05-30,6.549,,5.457,5.124,,4.759,,,,,,,,,,,
2016-05-31,6.644,,5.482,5.146,,4.78,,,,,,,,,,,
