tanggal,BFCIUS_Index
2023-01-02,-0.105
2023-01-03,-0.259
2023-01-04,-0.128
2023-01-05,0.006
2023-01-06,0.018
2023-01-09,0.017
2023-01-10,0.128
2023-01-11,0.186
2023-01-12,0.157
2023-01-13,0.234
2023-01-16,0.167
2023-01-17,0.245
2023-01-18,0.203
2023-01-19,0.205
2023-01-20,0.252
2023-01-23,0.315
2023-01-24,0.314
2023-01-25,0.319
2023-01-26,0.384
2023-01-27,0.389
2023-01-30,0.324
2023-01-31,0.313
2023-02-01,0.352
2023-02-02,0.342
2023-02-03,0.436
2023-02-06,0.409
2023-02-07,0.465
2023-02-08,0.404
2023-02-09,0.395
2023-02-10,0.415
2023-02-13,0.414
2023-02-14,0.436
2023-02-15,0.501
2023-02-16,0.415
2023-02-17,0.342
2023-02-20,0.295
2023-02-21,0.242
2023-02-22,0.257
2023-02-23,0.295
2023-02-24,0.239
2023-02-27,0.208
2023-02-28,0.224
2023-03-01,0.331
2023-03-02,0.372
2023-03-03,0.399
2023-03-06,0.403
2023-03-07,0.467
2023-03-08,0.552
2023-03-09,0.217
2023-03-10,-0.22
2023-03-13,-0.7
2023-03-14,-0.407
2023-03-15,-0.813
2023-03-16,-0.402
2023-03-17,-1.041
2023-03-20,-0.708
2023-03-21,-0.266
2023-03-22,-0.431
2023-03-23,-0.584
2023-03-24,-0.615
2023-03-27,-0.423
2023-03-28,-0.433
2023-03-29,-0.302
2023-03-30,-0.22
2023-03-31,-0.321
2023-04-03,-0.269
2023-04-04,-0.361
2023-04-05,-0.319
2023-04-06,-0.299
2023-04-07,-0.239
2023-04-10,-0.017
2023-04-11,-0.041
2023-04-12,-0.058
2023-04-13,0.042
2023-04-14,0.175
2023-04-17,0.224
2023-04-18,0.212
2023-04-19,0.217
2023-04-20,0.085
2023-04-21,0.077
2023-04-24,-0.029
2023-04-25,-0.162
2023-04-26,-0.044
2023-04-27,0.141
2023-04-28,0.019
2023-05-01,0.074
2023-05-02,-0.072
2023-05-03,-0.1
2023-05-04,-0.18
2023-05-05,0.033
2023-05-08,0.073
2023-05-09,0.024
2023-05-10,0.005
2023-05-11,-0.083
2023-05-12,-0.033
2023-05-15,-0.05
2023-05-16,-0.092
2023-05-17,0.049
2023-05-18,0.125
2023-05-19,0.022
2023-05-22,0.068
2023-05-23,-0.072
2023-05-24,0.02
2023-05-25,0.02
2023-05-26,0.008
2023-05-29,0.026
2023-05-30,-0.024
2023-05-31,0.0
2023-06-01,0.011
2023-06-02,0.182
2023-06-05,0.08
2023-06-06,0.024
2023-06-07,0.153
2023-06-08,0.072
2023-06-09,0.091
2023-06-12,0.038
2023-06-13,0.035
2023-06-14,0.082
2023-06-15,0.071
2023-06-16,0.209
2023-06-19,0.182
2023-06-20,0.198
2023-06-21,0.284
2023-06-22,0.328
2023-06-23,0.25
2023-06-26,0.209
2023-06-27,0.242
2023-06-28,0.272
2023-06-29,0.358
2023-06-30,0.338
2023-07-03,0.342
2023-07-04,0.383
2023-07-05,0.409
2023-07-06,0.4
2023-07-07,0.414
2023-07-10,0.375
2023-07-11,0.392
2023-07-12,0.43
2023-07-13,0.416
2023-07-14,0.442
2023-07-17,0.468
2023-07-18,0.475
2023-07-19,0.481
2023-07-20,0.5
2023-07-21,0.507
2023-07-24,0.564
2023-07-25,0.546
2023-07-26,0.555
2023-07-27,0.548
2023-07-28,0.576
2023-07-31,0.574
2023-08-01,0.509
2023-08-02,0.364
2023-08-03,0.403
2023-08-04,0.263
2023-08-07,0.359
2023-08-08,0.359
2023-08-09,0.356
2023-08-10,0.395
2023-08-11,0.457
2023-08-14,0.487
2023-08-15,0.381
2023-08-16,0.434
2023-08-17,0.29
2023-08-18,0.385
2023-08-21,0.393
2023-08-22,0.363
2023-08-23,0.383
2023-08-24,0.373
2023-08-25,0.447
2023-08-28,0.502
2023-08-29,0.439
2023-08-30,0.452
2023-08-31,0.467
2023-09-01,0.489
2023-09-04,0.458
2023-09-05,0.488
2023-09-06,0.51
2023-09-07,0.462
2023-09-08,0.506
2023-09-11,0.536
2023-09-12,0.456
2023-09-13,0.508
2023-09-14,0.577
2023-09-15,0.523
2023-09-18,0.494
2023-09-19,0.487
2023-09-20,0.486
2023-09-21,0.337
2023-09-22,0.306
2023-09-25,0.321
2023-09-26,0.153
2023-09-27,0.224
2023-09-28,0.181
2023-09-29,0.18
2023-10-02,0.228
2023-10-03,0.129
2023-10-04,0.173
2023-10-05,0.169
2023-10-06,0.282
2023-10-09,0.248
2023-10-10,0.216
2023-10-11,0.303
2023-10-12,0.316
2023-10-13,0.141
2023-10-16,0.261
2023-10-17,0.262
2023-10-18,0.191
2023-10-19,0.04
2023-10-20,-0.068
2023-10-23,-0.038
2023-10-24,-0.005
2023-10-25,0.022
2023-10-26,-0.1
2023-10-27,-0.152
2023-10-30,-0.051
2023-10-31,0.052
2023-11-01,0.004
2023-11-02,0.114
2023-11-03,0.133
2023-11-06,0.207
2023-11-07,0.175
2023-11-08,0.214
2023-11-09,0.253
2023-11-10,0.325
2023-11-13,0.317
2023-11-14,0.254
2023-11-15,0.355
2023-11-16,0.313
2023-11-17,0.365
2023-11-20,0.43
2023-11-21,0.422
2023-11-22,0.543
2023-11-23,0.539
2023-11-24,0.595
2023-11-27,0.562
2023-11-28,0.557
2023-11-29,0.548
2023-11-30,0.626
2023-12-01,0.563
2023-12-04,0.616
2023-12-05,0.611
2023-12-06,0.64
2023-12-07,0.679
2023-12-08,0.733
2023-12-11,0.734
2023-12-12,0.768
2023-12-13,0.691
2023-12-14,0.779
2023-12-15,0.813
2023-12-18,0.798
2023-12-19,0.822
2023-12-20,0.764
2023-12-21,0.779
2023-12-22,0.801
2023-12-25,0.801
2023-12-26,0.873
2023-12-27,0.844
2023-12-28,0.839
2023-12-29,0.859
2024-01-01,0.859
2024-01-02,0.868
2024-01-03,0.849
2024-01-04,0.861
2024-01-05,0.886
2024-01-08,0.931
2024-01-09,0.909
2024-01-10,0.964
2024-01-11,0.929
2024-01-12,0.894
2024-01-15,1.035
2024-01-16,0.911
2024-01-17,0.881
2024-01-18,0.906
2024-01-19,0.911
2024-01-22,0.94
2024-01-23,0.963
2024-01-24,1.006
2024-01-25,0.948
2024-01-26,0.973
2024-01-29,0.943
2024-01-30,0.944
2024-01-31,0.845
2024-02-01,0.904
2024-02-02,0.989
2024-02-05,1.028
2024-02-06,1.017
2024-02-07,1.064
2024-02-08,1.084
2024-02-09,1.099
2024-02-12,1.087
2024-02-13,1.045
2024-02-14,1.075
2024-02-15,1.08
2024-02-16,1.073
2024-02-19,1.109
2024-02-20,1.004
2024-02-21,1.066
2024-02-22,1.136
2024-02-23,1.138
2024-02-26,1.136
2024-02-27,1.131
2024-02-28,1.077
2024-02-29,1.1
2024-03-01,1.081
2024-03-04,1.102
2024-03-05,1.007
2024-03-06,1.028
2024-03-07,1.029
2024-03-08,1.007
2024-03-11,0.924
2024-03-12,1.121
2024-03-13,1.167
2024-03-14,1.154
2024-03-15,1.128
2024-03-18,1.161
2024-03-19,1.156
2024-03-20,1.182
2024-03-21,1.189
2024-03-22,1.118
2024-03-25,1.132
2024-03-26,1.107
2024-03-27,1.12
2024-03-28,1.1
2024-03-29,1.079
2024-04-01,1.123
2024-04-02,1.047
2024-04-03,1.068
2024-04-04,0.913
2024-04-05,1.012
2024-04-08,1.069
2024-04-09,1.019
2024-04-10,1.108
2024-04-11,1.149
2024-04-12,0.978
2024-04-15,0.892
2024-04-16,0.911
2024-04-17,0.903
2024-04-18,0.921
2024-04-19,0.85
2024-04-22,0.959
2024-04-23,0.977
2024-04-24,1.026
2024-04-25,1.044
2024-04-26,1.036
2024-04-29,0.96
2024-04-30,1.021
2024-05-01,1.017
2024-05-02,0.939
2024-05-03,1.094
2024-05-06,1.128
2024-05-07,1.127
2024-05-08,1.134
2024-05-09,1.126
2024-05-10,1.164
2024-05-13,1.104
2024-05-14,1.097
2024-05-15,1.125
2024-05-16,1.139
2024-05-17,1.166
2024-05-20,1.161
2024-05-21,1.117
2024-05-22,1.095
2024-05-23,1.064
2024-05-24,1.083
2024-05-27,1.398
2024-05-28,1.003
2024-05-29,1.023
2024-05-30,0.823
2024-05-31,1.019
2024-06-03,0.973
2024-06-04,0.94
2024-06-05,0.997
2024-06-06,1.004
2024-06-07,1.096
2024-06-10,1.084
2024-06-11,0.894
2024-06-12,1.092
2024-06-13,1.04
2024-06-14,0.997
2024-06-17,1.048
2024-06-18,1.022
2024-06-19,1.176
2024-06-20,0.984
2024-06-21,0.967
