tanggal,CDS_CBIN_5Y,CDS_CBIN_10Y
2017-12-20,88.47,156.315
2017-12-21,86.87,154.02
2017-12-22,86.4,155.215
2017-12-25,86.4,155.265
2017-12-26,86.22,155.03
2017-12-27,86.33,155.945
2017-12-28,85.345,154.655
2017-12-29,84.875,154.085
2018-01-02,85.47,154.4
2018-01-03,84.485,151.785
2018-01-04,83.055,150.36
2018-01-05,79.595,144.93
2018-01-08,78.19,142.26
2018-01-09,76.715,141.635
2018-01-10,78.31,139.43
2018-01-11,78.325,141.735
2018-01-12,78.865,141.325
2018-01-15,79.575,143.46
2018-01-16,78.775,142.735
2018-01-17,79.665,143.84
2018-01-18,79.905,144.57
2018-01-19,80.675,145.56
2018-01-22,81.06,146.935
2018-01-23,80.085,144.75
2018-01-24,78.88,140.645
2018-01-25,80.0,143.7
2018-01-26,78.68,141.775
2018-01-29,79.93,141.905
2018-01-30,83.065,144.95
2018-01-31,81.365,144.935
2018-02-01,80.71,143.475
2018-02-02,83.58,147.305
2018-02-05,83.99,147.735
2018-02-06,86.17,157.5
2018-02-07,84.805,149.65
2018-02-08,90.845,151.945
2018-02-09,100.43,164.485
2018-02-12,93.445,162.89
2018-02-13,93.31,158.935
2018-02-14,90.96,158.82
2018-02-15,87.88,154.495
2018-02-16,85.54,151.365
2018-02-19,84.66,150.575
2018-02-20,87.41,151.5
2018-02-21,88.13,152.3
2018-02-22,88.795,153.095
2018-02-23,88.105,152.63
2018-02-26,85.115,150.5
2018-02-27,85.28,150.74
2018-02-28,85.01,150.28
2018-03-01,87.365,151.42
2018-03-02,88.01,152.52
2018-03-05,87.035,153.76
2018-03-06,86.35,152.78
2018-03-07,90.35,156.67
2018-03-08,89.715,156.96
2018-03-09,88.52,155.365
2018-03-12,87.14,153.64
2018-03-13,87.375,153.61
2018-03-14,88.975,156.875
2018-03-15,90.645,159.185
2018-03-16,89.635,157.81
2018-03-19,92.575,157.025
2018-03-20,102.52,169.795
2018-03-21,102.06,170.015
2018-03-22,104.16,170.665
2018-03-23,107.255,174.865
2018-03-26,105.585,172.66
2018-03-27,102.175,168.115
2018-03-28,103.395,169.82
2018-03-29,100.76,166.01
2018-04-02,103.95,170.175
2018-04-03,101.665,167.165
2018-04-04,101.725,167.165
2018-04-05,99.58,164.32
2018-04-06,101.14,166.3
2018-04-09,100.27,167.4
2018-04-10,98.835,166.88
2018-04-11,101.315,170.17
2018-04-12,100.71,172.465
2018-04-13,97.02,166.65
2018-04-16,97.065,166.2
2018-04-17,96.095,165.1
2018-04-18,96.335,165.135
2018-04-19,98.105,167.04
2018-04-20,99.27,168.515
2018-04-23,102.39,172.6
2018-04-24,101.81,173.86
2018-04-25,106.715,178.77
2018-04-26,105.755,178.94
2018-04-27,105.875,178.055
2018-04-30,104.23,176.4
2018-05-01,105.99,178.785
2018-05-02,108.27,180.845
2018-05-03,114.47,187.535
2018-05-04,115.92,198.94
2018-05-07,126.63,203.74
2018-05-08,129.825,207.82
2018-05-09,128.275,211.42
2018-05-10,116.58,195.835
2018-05-11,114.32,192.85
2018-05-14,112.645,190.535
2018-05-15,120.52,196.23
2018-05-16,119.86,201.02
2018-05-17,122.81,204.9
2018-05-18,125.195,208.005
2018-05-21,125.14,202.29
2018-05-22,119.675,195.205
2018-05-23,122.24,201.91
2018-05-24,118.845,196.9
2018-05-25,117.22,194.785
2018-05-28,112.345,188.335
2018-05-29,117.89,193.34
2018-05-30,118.115,193.835
2018-05-31,121.51,198.22
2018-06-01,122.705,199.75
2018-06-04,122.68,201.78
2018-06-05,122.84,200.05
2018-06-06,125.47,204.58
2018-06-07,125.385,203.17
2018-06-08,128.95,207.865
2018-06-11,127.565,210.225
2018-06-12,126.29,205.115
2018-06-13,127.54,205.27
2018-06-14,127.255,204.86
2018-06-15,130.045,208.535
2018-06-18,133.405,212.82
2018-06-19,138.39,219.175
2018-06-20,133.06,212.42
2018-06-21,135.97,215.525
2018-06-22,130.75,214.635
2018-06-25,135.835,214.37
2018-06-26,134.5,212.665
2018-06-27,138.17,216.34
2018-06-28,142.595,221.98
2018-06-29,136.07,219.68
2018-07-02,141.59,226.73
2018-07-03,136.45,220.09
2018-07-04,133.845,216.765
2018-07-05,132.91,221.045
2018-07-06,133.665,222.015
2018-07-09,125.805,210.275
2018-07-10,123.535,207.195
2018-07-11,126.52,211.115
2018-07-12,122.595,205.965
2018-07-13,119.75,199.945
2018-07-16,116.93,195.715
2018-07-17,116.325,194.855
2018-07-18,115.545,193.78
2018-07-19,118.77,198.005
2018-07-20,118.945,198.285
2018-07-23,115.645,193.775
2018-07-24,113.28,190.5
2018-07-25,108.855,178.235
2018-07-26,106.53,175.17
2018-07-27,107.71,184.92
2018-07-30,110.315,188.695
2018-07-31,111.775,190.605
2018-08-01,114.635,194.465
2018-08-02,118.145,193.93
2018-08-03,116.345,191.6
2018-08-06,114.65,196.075
2018-08-07,110.239,191.115
2018-08-08,112.795,193.515
2018-08-09,113.275,194.18
2018-08-10,120.02,203.34
2018-08-13,124.47,209.315
2018-08-14,122.51,206.705
2018-08-15,127.095,212.725
2018-08-16,123.92,210.725
2018-08-17,124.825,211.885
2018-08-20,122.725,209.02
2018-08-21,119.87,205.285
2018-08-22,119.475,201.915
2018-08-23,121.055,204.04
2018-08-24,119.78,202.315
2018-08-27,115.765,199.975
2018-08-28,115.305,198.635
2018-08-29,118.05,202.65
2018-08-30,122.525,202.575
2018-08-31,127.325,208.83
2018-09-03,130.615,216.14
2018-09-04,143.245,224.99
2018-09-05,144.825,229.83
2018-09-06,141.745,225.925
2018-09-07,141.32,221.26
2018-09-10,143.685,224.71
2018-09-11,142.83,223.98
2018-09-12,141.07,225.72
2018-09-13,134.295,217.145
2018-09-14,133.565,216.185
2018-09-17,136.405,219.685
2018-09-18,134.165,216.835
2018-09-19,133.16,215.41
2018-09-20,139.655,219.755
2018-09-21,132.615,211.54
2018-09-24,134.15,213.97
2018-09-25,136.775,217.35
2018-09-26,132.99,209.69
2018-09-27,131.35,207.67
2018-09-28,130.275,210.47
2018-10-01,128.73,208.395
2018-10-02,134.735,216.145
2018-10-03,132.91,209.89
2018-10-04,139.94,218.71
2018-10-05,144.035,217.985
2018-10-08,147.885,222.595
2018-10-09,146.245,223.11
2018-10-10,146.82,223.845
2018-10-11,149.83,227.59
2018-10-12,144.045,220.52
2018-10-15,146.76,221.95
2018-10-16,145.15,219.94
2018-10-17,143.575,217.94
2018-10-18,147.265,220.26
2018-10-19,148.585,221.88
2018-10-22,148.415,221.59
2018-10-23,151.28,225.06
2018-10-24,153.695,228.0
2018-10-25,152.92,227.185
2018-10-26,158.72,234.15
2018-10-29,158.605,227.375
2018-10-30,159.615,228.535
2018-10-31,157.675,235.3
2018-11-01,157.245,234.63
2018-11-02,150.41,226.285
2018-11-05,151.305,227.195
2018-11-06,145.81,220.455
2018-11-07,143.12,217.09
2018-11-08,141.865,215.555
2018-11-09,143.415,217.42
2018-11-12,144.815,219.175
2018-11-13,146.8250122,221.6399994
2018-11-14,147.4250031,222.4400024
2018-11-15,147.9499969,223.1000061
2018-11-16,148.185,223.39
2018-11-19,150.495,226.215
2018-11-20,156.2900085,233.3099976
2018-11-21,150.4400024,226.1650085
2018-11-22,152.15,228.23
2018-11-23,153.565,229.94
2018-11-26,148.5599976,223.8249969
2018-11-27,151.6650085,227.5650024
2018-11-28,146.6000061,222.6999969
2018-11-29,143.4649963,218.8600006
2018-11-30,141.075,218.075
2018-12-03,135.9450073,211.6699982
2018-12-04,141.6000061,218.7949982
2018-12-05,140.5950012,217.6199951
2018-12-06,143.1750031,220.8300018
2018-12-07,140.995,218.13
2018-12-10,144.2749939,222.2099915
2018-12-11,140.9949951,218.1950073
2018-12-12,134.0899963,209.5050049
2018-12-13,132.2749939,216.0449982
