Sum of PRICE,Column Labels,,,,
Row Labels,CDS 10Y,CDS 1Y,CDS 3Y,CDS 5Y,CDS 7Y
01/01/2008,211.1,93.1,122.9,153.5,180.9
02/01/2008,213.7,94.7,125,156.1,183.5
03/01/2008,223,101.8,134.4,167.8,190.7
04/01/2008,224.5,106.3,140.3,175.2,196.6
07/01/2008,238.2,108,143,184.8,212.4
08/01/2008,239.6,105.8,142,184.6,212.9
09/01/2008,246.2,105,143,193.1,222.9
10/01/2008,262.7,107.5,149.3,207.1,218.8
11/01/2008,256,110.2,152,205.5,235.5
14/01/2008,261.8,112.4,155,205.8,236.6
15/01/2008,260,106.8,154.5,206,227.7
16/01/2008,270,120,162,214,233
17/01/2008,265.7,115,162.7,213.5,237
18/01/2008,278.1,122,165,219,248.2
21/01/2008,288.8,122,172,236.8,270.1
22/01/2008,298,122,172,236.8,272.9
23/01/2008,292.7,131.2,185,239.8,270.4
24/01/2008,278.3,119,177,222.4,250.8
25/01/2008,258,117.5,160,202.7,230.8
28/01/2008,270.8,113.5,168,216.8,239
29/01/2008,259.5,110.2,160.8,206.7,230
30/01/2008,257.8,109.7,160,205.2,233
31/01/2008,263,111.5,165,213,235
01/02/2008,261.2,112.5,162.7,209.5,233.3
04/02/2008,254.3,109.5,157.3,205.8,228
05/02/2008,258.4,109.5,160.3,213.4,228
06/02/2008,272.5,111.5,170,223.2,251.9
07/02/2008,284.1,117.3,178.8,234.8,263.5
08/02/2008,284.2,117.3,178.9,234.9,263.6
11/02/2008,292.2,125.2,191,242.4,270.5
12/02/2008,293,115,190,243.2,271.3
13/02/2008,293.5,116.2,189,242,270.5
14/02/2008,284.3,113.8,185.2,232.2,259.6
15/02/2008,287,107.5,182,238.8,267.6
18/02/2008,289,107.5,186,240.4,268.4
19/02/2008,290.3,107.5,185,239.8,268.5
20/02/2008,296.5,106.2,186,245,275.1
21/02/2008,292,105.1,188,242.2,270.2
22/02/2008,295.3,97.5,177,244.1,277.1
25/02/2008,281.5,107.5,182.5,232.9,259.5
26/02/2008,275.7,95,165,228.2,258.9
27/02/2008,277.5,92.2,172,233.2,265.4
28/02/2008,286,100,181.5,235.9,264.3
29/02/2008,292,99,186.5,245.2,262
03/03/2008,297.7,100,192,244.8,273.2
04/03/2008,291.3,100,185.5,239.5,263
05/03/2008,292.8,98.3,181.7,237.7,259.5
06/03/2008,290.3,95.3,179,242.2,257.5
07/03/2008,293.1,99.8,187.4,253.6,261.5
10/03/2008,313.5,104,195.5,264.5,296.9
11/03/2008,318.5,107.7,202.5,254.7,280.2
12/03/2008,302,105,185,250,281.7
13/03/2008,310.7,105,193,265.7,297.6
14/03/2008,317.1,105,196.8,264.2,288
17/03/2008,327,105,191.9,274.1,297.9
18/03/2008,311.3,105,198,248.1,278.8
19/03/2008,298.7,95,181,240,271.8
20/03/2008,304.2,99.4,189.3,255,286
21/03/2008,304.2,99.4,189.3,255,286
24/03/2008,295.4,96,182.9,246.8,277.6
25/03/2008,282,87.8,169.6,229.5,260.3
26/03/2008,291.3,93,172.5,238.5,271.3
27/03/2008,293.2,105,185,238.7,268.3
28/03/2008,294.8,103,182,239.2,270.3
31/03/2008,302.1,102,185,245.1,267.9
01/04/2008,300,103,185,239.2,271
02/04/2008,291.2,95,175,234.7,266.5
03/04/2008,289.5,97.2,179,238.5,268.6
04/04/2008,290,97.5,179.5,239.2,269.4
07/04/2008,286.5,93.7,172.4,229.8,261.2
08/04/2008,290.3,95,165,236,271.2
09/04/2008,295,95,170.2,241.6,276.2
10/04/2008,299.2,95,174.4,249.7,284.2
