tanggal,Philip_5Y,Philip_10Y,India_5Y,India_10Y,Brazil_5Y,Brazil_10Y,Turki_5Y,Turki_10Y,Mexico_5Y,Mexico_10Y,Malaysia_5Y,Malaysia_10Y,Thailand_5Y,Thailand_10Y,China_5Y,China_10Y,South_Africa_5Y,South_Africa_10Y,Argentina_5Y,Argentina_10Y,Colombia_5Y,Colombia_10Y,Indonesia_5Y,Indonesia_10Y
2017-12-29,58.53,106.395,66.35,115.625,161.355,258.41,165.33,260.795,106.8,181.8,58.03,103.725,45.5,82.465,50.0,89.92,157.755,252.63,232.31,361.35,104.706,181.639,84.875,153.935
2018-05-31,86.345,140.53,87.75,140.02,232.655,336.7,271.93,352.18,140.755,220.57,91.24,146.385,45.23,81.615,56.19,98.735,176.59,270.8,392.66,505.215,124.433,205.441,121.51,198.22
2018-06-22,88.495,146.95,87.285,139.13,260.855,372.17,295.195,363.275,132.03,210.695,101.7,164.82,45.46,81.0,57.51,100.5,198.74,283.615,389.61,500.655,125.222,206.6,130.75,214.635
2018-06-26,91.015,144.94,87.365,139.035,262.125,373.475,308.015,381.085,131.775,210.27,104.725,163.22,47.77,82.75,62.51,103.935,208.21,294.545,406.665,518.25,123.746,204.853,134.5,212.665
2018-06-27,92.835,146.165,91.105,143.93,271.18,383.98,302.955,375.81,137.12,214.895,107.845,166.17,50.085,82.17,65.895,105.585,209.865,294.76,427.41,537.705,127.32,207.063,138.17,216.34
2018-06-28,94.535,148.355,91.445,145.04,268.645,371.16,303.255,377.66,132.02,212.55,113.135,172.76,50.325,82.505,71.31,112.52,213.95,296.53,440.235,555.94,126.336,207.869,142.595,221.98
2018-06-29,90.88,148.47,97.275,152.68,273.395,376.435,295.9,369.88,135.53,217.19,106.945,171.0,48.46,84.77,67.55,113.535,215.5,298.225,467.345,583.205,124.95,206.766,136.07,219.68
2018-07-02,93.99,152.47,97.265,152.22,275.965,379.18,300.67,373.345,139.695,220.89,111.82,177.165,49.895,86.71,71.39,118.615,222.495,306.095,456.22,568.225,123.806,205.242,141.59,226.73
2018-07-03,89.875,147.115,98.265,153.505,265.99,367.81,300.29,369.18,130.24,208.91,107.92,172.18,49.015,85.495,68.575,114.875,217.81,296.39,439.505,550.395,118.043,199.013,136.45,220.09
2018-07-04,88.325,145.105,97.31,152.245,264.37,366.405,304.5,373.605,131.2,209.675,105.265,168.82,48.63,83.04,68.095,114.245,216.815,295.32,439.515,550.385,116.675,197.263,133.845,216.765
2018-07-05,88.505,146.305,99.645,155.205,261.505,363.125,292.335,361.005,120.33,195.87,105.685,171.22,48.86,83.04,70.455,118.215,212.085,290.03,426.985,533.985,111.565,192.388,132.91,221.045
2018-07-06,88.64,146.46,100.325,156.065,252.25,357.9,286.53,354.945,113.94,187.615,106.13,171.775,47.79,83.18,71.645,119.79,205.41,285.94,415.68,522.165,108.038,189.036,133.665,222.015
2018-07-09,82.59,140.85,99.395,154.79,247.61,350.445,275.97,351.43,112.095,191.65,100.73,165.94,46.57,84.0,66.9,114.535,191.575,281.635,418.04,521.205,105.977,186.672,125.805,210.275
2018-07-10,81.735,139.655,96.45,150.955,242.745,346.056,303.105,380.31,110.485,190.835,101.025,166.28,46.57,82.525,67.43,115.215,190.555,280.345,421.03,525.057,103.536,184.897,123.535,207.195
2018-07-11,82.41,140.525,97.935,152.85,253.05,356.525,330.32,397.915,118.0,200.96,102.325,167.935,46.47,83.825,71.965,121.33,196.795,276.265,437.6,542.435,112.571,191.928,126.52,211.115
2018-07-12,79.83,137.075,95.58,149.825,248.66,351.545,332.42,400.12,113.015,194.325,99.125,163.805,45.56,82.58,67.13,114.88,187.005,265.115,431.86,536.715,111.803,192.786,122.595,205.965
2018-07-13,79.355,132.765,94.765,148.745,243.175,344.995,324.33,384.055,110.22,190.815,96.875,159.74,45.45,81.86,67.08,114.635,182.465,264.445,421.82,527.47,109.236,190.278,119.75,199.945
2018-07-16,77.73,129.775,94.96,148.945,245.725,346.85,329.06,390.91,112.53,192.561,95.205,155.64,43.63,81.105,64.56,111.23,181.63,263.455,431.005,532.935,111.246,192.025,116.93,195.715
2018-07-17,77.92,130.0,94.885,148.825,244.085,344.86,322.15,383.89,114.685,194.555,95.51,155.985,45.315,83.51,64.32,110.87,182.135,263.995,435.335,540.79,112.461,192.786,116.325,194.855
2018-07-18,77.76,129.755,94.08,147.75,240.15,339.945,317.235,378.88,114.235,192.68,93.78,153.72,45.39,83.6,64.325,110.86,183.07,265.035,436.97,537.925,111.353,192.305,115.545,193.78
2018-07-19,79.615,132.18,92.965,146.3,242.18,341.045,314.06,378.83,116.455,196.345,93.335,153.11,45.45,83.665,66.05,111.515,188.04,270.795,439.865,544.085,111.516,192.066,118.77,198.005
2018-07-20,78.155,130.29,94.045,147.695,224.445,320.755,307.73,372.27,114.96,194.59,92.555,152.13,45.705,84.05,64.55,109.535,184.55,266.75,431.245,534.15,111.241,191.399,118.945,198.285
2018-07-23,77.3,129.055,94.035,148.09,224.965,321.085,301.685,365.97,113.825,194.395,90.79,149.725,44.58,82.385,63.11,107.52,188.44,271.135,438.485,538.734,110.585,191.022,115.645,193.775
2018-07-24,75.675,126.83,93.655,146.905,222.735,320.69,324.82,365.91,113.34,190.63,88.415,146.53,43.57,80.88,61.89,108.095,180.985,272.085,447.545,544.35,110.579,191.05,113.28,190.5
2018-07-25,73.44,123.89,86.36,137.41,217.33,314.405,314.595,356.08,110.275,186.605,85.1,149.52,43.205,79.51,59.6,103.645,177.065,267.375,440.445,541.91,107.831,188.415,108.855,178.235
2018-07-26,71.76,121.625,85.915,136.38,213.66,313.835,309.805,351.45,107.18,186.994,82.31,145.67,41.54,77.125,56.215,98.995,177.87,268.31,421.005,523.755,105.8,186.639,106.53,175.17
2018-07-27,71.4,121.12,84.275,140.76,210.585,310.14,315.49,378.815,108.105,183.65,81.51,144.55,41.6,77.2,56.435,101.2,182.37,265.88,410.675,512.79,104.25,184.812,107.71,184.92
2018-07-30,72.55,124.255,86.175,143.285,212.065,312.61,321.085,384.5,112.82,192.201,82.145,145.56,42.695,78.76,57.955,103.315,182.446,266.06,411.655,510.167,104.358,184.965,110.315,188.695
2018-07-31,73.32,125.26,85.93,139.36,215.115,313.88,323.16,387.44,114.695,193.601,82.955,146.63,42.78,78.855,57.855,103.14,181.785,262.325,418.385,520.5,105.645,185.967,111.775,190.605
2018-08-01,74.325,126.61,86.05,139.7,217.355,316.505,333.89,398.36,115.855,193.785,84.755,149.13,43.06,79.25,59.615,105.615,186.26,267.555,423.19,525.575,106.189,186.608,114.635,194.465
2018-08-02,76.69,126.11,85.56,139.04,217.28,316.24,344.87,409.355,117.365,195.645,87.08,148.33,44.025,81.47,63.545,104.765,191.07,273.03,431.355,534.005,105.881,186.26,118.145,193.93
2018-08-03,75.13,124.085,85.32,138.72,212.355,310.485,336.525,400.71,113.865,191.085,85.66,146.44,43.52,80.755,62.17,102.985,183.85,265.775,426.88,529.33,104.81,184.743,116.345,191.6
2018-08-06,74.145,128.61,85.245,138.56,213.37,312.694,343.835,408.13,113.93,191.15,84.145,148.255,42.965,79.375,62.465,107.815,186.5,268.875,434.98,537.855,104.387,184.416,114.65,196.075
2018-08-07,72.665,126.585,84.025,136.94,217.085,315.995,348.79,413.145,114.685,192.145,82.335,145.775,42.5,78.725,60.31,104.895,184.83,266.945,450.48,554.145,104.514,184.313,110.965,191.115
2018-08-08,74.685,129.31,83.835,136.635,219.705,318.94,357.325,421.65,114.155,191.375,83.09,146.755,42.5,78.725,60.35,104.905,186.905,269.28,465.315,564.59,105.472,185.085,112.795,193.515
2018-08-09,74.49,129.05,83.695,137.415,227.74,330.585,377.925,440.775,117.495,195.775,83.295,147.06,42.35,78.495,60.035,104.495,191.17,275.22,484.345,584.315,107.401,187.546,113.275,194.18
2018-08-10,78.215,134.16,83.895,137.675,239.695,344.64,453.155,501.425,121.045,200.46,87.795,153.285,43.54,80.205,63.435,109.155,205.805,289.51,567.44,670.085,110.206,190.028,120.02,203.34
2018-08-13,80.105,136.73,87.28,142.15,249.92,349.13,573.84,617.045,120.8,200.255,90.34,156.78,43.255,79.815,63.805,109.66,216.865,302.185,619.46,723.08,113.096,196.93,124.47,209.315
2018-08-14,77.01,132.55,86.79,141.49,237.285,334.755,503.19,512.21,116.0,193.99,87.995,153.595,42.58,78.85,62.185,107.465,204.835,288.885,559.66,662.845,109.837,191.486,122.51,206.705
