tanggal,VIX_Index,DXY_Curncy,MOVE_Index
2023-12-28,12.47,101.23,113.78
2023-12-29,12.45,101.33,114.62
2024-01-01,12.45,101.33,114.62
2024-01-02,13.2,102.2,127.02
2024-01-03,14.04,102.49,124.57
2024-01-04,14.13,102.42,121.12
2024-01-05,13.35,102.41,116.19
2024-01-08,13.08,102.21,117.72
2024-01-09,12.76,102.57,114.92
2024-01-10,12.69,102.36,109.63
2024-01-11,12.44,102.29,103.45
2024-01-12,12.7,102.4,106.51
2024-01-15,13.25,102.4,106.51
2024-01-16,13.84,103.36,113.44
2024-01-17,14.79,103.45,105.86
2024-01-18,14.13,103.54,107.22
2024-01-19,13.3,103.29,104.97
2024-01-22,13.19,103.33,106.87
2024-01-23,12.55,103.62,107.7
2024-01-24,13.14,103.24,105.78
2024-01-25,13.45,103.57,105.89
2024-01-26,13.26,103.43,100.23
2024-01-29,13.6,103.61,106.34
2024-01-30,13.31,103.4,104.26
2024-01-31,14.35,103.27,107.28
2024-02-01,13.88,103.05,113.92
2024-02-02,13.85,103.92,106.72
2024-02-05,13.67,104.45,108.68
2024-02-06,13.06,104.21,110.6
2024-02-07,12.83,104.06,107.86
2024-02-08,12.79,104.17,108.6
2024-02-09,12.93,104.11,106.21
2024-02-12,13.93,104.17,109.78
2024-02-13,15.85,104.96,113.22
2024-02-14,14.38,104.72,111.97
2024-02-15,14.01,104.3,112.09
2024-02-16,14.24,104.28,109.2
2024-02-19,14.71,104.29,109.2
2024-02-20,15.42,104.08,111.02
2024-02-21,15.34,104.01,114.27
2024-02-22,14.54,103.96,115.59
2024-02-23,13.75,103.94,108.31
2024-02-26,13.74,103.83,110.77
2024-02-27,13.43,103.83,110.8
2024-02-28,13.84,103.98,108.71
2024-02-29,13.4,104.16,109.1
2024-03-01,13.11,103.86,106.48
2024-03-04,13.49,103.83,109.57
2024-03-05,14.46,103.8,110.33
2024-03-06,14.5,103.37,105.33
2024-03-07,14.44,102.82,105.45
2024-03-08,14.74,102.71,100.88
2024-03-11,15.22,102.87,106.63
2024-03-12,13.84,102.96,101.36
2024-03-13,13.75,102.79,97.03
2024-03-14,14.4,103.36,98.67
2024-03-15,14.41,103.43,97.82
2024-03-18,14.33,103.58,102.87
2024-03-19,13.82,103.82,99.99
2024-03-20,13.04,103.39,92.72
2024-03-21,12.92,104.01,90.82
2024-03-22,13.06,104.43,91.04
2024-03-25,13.19,104.22,92.24
2024-03-26,13.24,104.3,90.63
2024-03-27,12.78,104.35,86.28
2024-03-28,13.01,104.55,86.38
2024-03-29,13.01,104.49,86.38
2024-04-01,13.65,105.02,94.2
2024-04-02,14.61,104.82,96.57
2024-04-03,14.33,104.25,97.88
2024-04-04,16.35,104.12,96.13
2024-04-05,16.03,104.3,94.31
2024-04-08,15.19,104.14,99.37
2024-04-09,14.98,104.15,98.73
2024-04-10,15.8,105.25,109.59
2024-04-11,14.91,105.28,108.86
2024-04-12,17.31,106.04,112.82
2024-04-15,19.23,106.21,121.15
2024-04-16,18.4,106.26,119.59
2024-04-17,18.21,105.95,113.29
2024-04-18,18.0,106.15,108.66
2024-04-19,18.71,106.15,111.26
2024-04-22,16.94,106.08,108.56
2024-04-23,15.69,105.68,106.85
2024-04-24,15.97,105.86,110.21
2024-04-25,15.37,105.6,108.55
2024-04-26,15.03,105.94,104.4
2024-04-29,14.67,105.58,105.42
2024-04-30,15.65,106.22,107.46
2024-05-01,15.39,105.76,100.64
2024-05-02,14.68,105.3,100.7
2024-05-03,13.49,105.03,95.96
2024-05-06,13.49,105.05,94.5
2024-05-07,13.23,105.41,98.04
2024-05-08,13.0,105.55,95.58
2024-05-09,12.69,105.23,93.85
2024-05-10,12.55,105.3,94.23
2024-05-13,13.6,105.22,105.35
2024-05-14,13.42,105.01,106.55
2024-05-15,12.45,104.35,93.78
2024-05-16,12.42,104.46,91.83
2024-05-17,11.99,104.45,89.35
2024-05-20,12.15,104.57,88.13
2024-05-21,11.86,104.66,85.34
2024-05-22,12.29,104.93,82.49
2024-05-23,12.77,105.11,86.15
2024-05-24,11.93,104.72,83.57
2024-05-27,12.36,104.6,83.57
2024-05-28,12.92,104.61,89.67
2024-05-29,14.28,105.12,93.45
2024-05-30,14.47,104.72,91.09
2024-05-31,12.92,104.67,91.14
2024-06-03,13.11,104.14,93.92
2024-06-04,13.16,104.11,100.11
2024-06-05,12.63,104.27,102.43
2024-06-06,12.58,104.1,100.99
2024-06-07,12.22,104.89,91.82
2024-06-10,12.74,105.15,94.16
2024-06-11,12.85,105.23,97.27
2024-06-12,12.04,104.65,91.73
2024-06-13,11.94,105.2,91.93
2024-06-14,12.66,105.55,100.16
2024-06-17,12.75,105.32,99.07
2024-06-18,12.3,105.26,97.99
2024-06-19,12.48,105.25,97.99
2024-06-20,13.28,105.59,94.14
2024-06-21,13.2,105.8,94.09
2024-06-24,13.33,105.47,95.2
2024-06-25,12.84,105.61,96.97
2024-06-26,12.55,106.05,97.91
2024-06-27,12.24,105.91,95.69
2024-06-28,12.44,105.87,98.59
2024-07-01,12.22,105.9,106.23
2024-07-02,12.03,105.72,107.51
2024-07-03,12.09,105.4,102.83
2024-07-04,12.26,105.13,102.83
2024-07-05,12.48,104.88,98.78
2024-07-08,12.37,105.0,97.96
2024-07-09,12.51,105.13,95.62
2024-07-10,12.85,105.05,92.97
2024-07-11,12.92,104.44,89.67
2024-07-12,12.46,104.09,86.79
2024-07-15,13.12,104.19,94.5
2024-07-16,13.19,104.27,93.87
2024-07-17,14.48,103.75,91.0
2024-07-18,15.93,104.17,91.97
2024-07-19,16.52,104.4,94.29
2024-07-22,14.91,104.31,94.45
2024-07-23,14.72,104.45,95.04
2024-07-24,18.04,104.39,94.81
2024-07-25,18.46,104.36,99.08
2024-07-26,16.39,104.32,97.76
2024-07-29,16.6,104.56,98.65
2024-07-30,17.69,104.55,100.42
2024-07-31,16.36,104.1,99.41
2024-08-01,18.59,104.42,101.82
2024-08-02,23.39,103.21,112.26
2024-08-05,38.57,102.69,121.22
2024-08-06,27.71,102.97,119.24
2024-08-07,27.85,103.2,112.69
2024-08-08,23.79,103.21,110.42
2024-08-09,20.37,103.14,108.26
2024-08-12,20.71,103.14,118.26
2024-08-13,18.12,102.56,118.44
2024-08-14,16.19,102.57,106.34
2024-08-15,15.23,102.98,103.74
2024-08-16,14.8,102.46,102.81
2024-08-19,14.65,101.89,110.13
2024-08-20,15.88,101.44,111.57
2024-08-21,16.27,101.04,111.38
2024-08-22,17.55,101.51,108.5
2024-08-23,15.86,100.72,105.63
