tanggal,Yield_UST_1M,Yield_UST_2M,Yield_UST_3M,Yield_UST_6M,Yield_UST_1Y,Yield_UST_2Y,Yield_UST_3Y,Yield_UST_5Y,Yield_UST_7Y,Yield_UST_10Y,Yield_UST_20Y,Yield_UST_30Y
2020-05-01,0.084,,0.107,0.164,,,,,,,,
2020-09-23,0.074,0.087,0.094,0.103,,0.141,,0.278,,0.673,1.2,1.418
2020-09-24,0.074,0.089,0.096,0.104,,0.134,,0.276,0.462,0.668,1.188,1.409
2020-09-25,0.079,0.086,0.095,0.104,,0.131,,0.268,0.456,0.656,1.177,1.402
2020-09-28,0.079,0.087,0.098,0.103,,0.126,,0.259,0.449,0.654,1.187,1.416
2020-09-29,0.07,0.081,0.094,0.101,,0.125,,0.256,0.446,0.65,1.186,1.416
2020-09-30,0.075,0.077,0.097,0.1,,0.129,,0.278,0.472,0.685,1.226,1.456
2020-10-01,0.085,0.086,0.09,0.101,,0.129,,0.273,0.466,0.679,1.224,1.456
2020-10-02,0.084,0.085,0.09,0.103,,0.132,,0.287,0.484,0.702,1.255,1.488
2020-10-05,0.082,0.087,0.089,0.105,,0.148,,0.336,0.553,0.783,1.353,1.591
2020-10-06,0.08,0.09,0.093,0.104,0.135,0.149,0.185,0.312,0.514,0.736,1.302,1.538
2020-10-07,0.084,0.085,0.094,0.101,0.129,0.154,0.199,0.343,0.559,0.788,1.355,1.588
2020-10-08,0.089,0.087,0.094,0.104,0.129,0.152,0.197,0.338,0.552,0.786,1.352,1.588
2020-10-09,0.091,0.093,0.099,0.112,0.129,0.156,0.201,0.338,0.55,0.776,1.336,1.574
2020-10-12,0.091,0.093,0.099,0.112,0.129,0.156,0.201,0.338,0.55,0.776,1.336,1.574
2020-10-13,0.09,0.093,0.095,0.11,0.128,0.14,0.176,0.305,0.507,0.728,1.28,1.512
2020-10-14,0.09,0.093,0.103,0.112,0.124,0.141,0.176,0.305,0.507,0.726,1.277,1.506
2020-10-15,0.076,0.089,0.1,0.107,0.123,0.14,0.176,0.314,0.517,0.733,1.286,1.514
2020-10-16,0.087,0.087,0.094,0.109,0.123,0.144,0.183,0.322,0.526,0.746,1.298,1.53
2020-10-19,0.087,0.095,0.096,0.11,0.123,0.148,0.192,0.335,0.548,0.771,1.326,1.562
2020-10-20,0.079,0.093,0.096,0.114,0.123,0.144,0.189,0.335,0.555,0.787,1.353,1.593
2020-10-21,0.076,0.087,0.095,0.115,0.126,0.149,0.197,0.356,0.587,0.824,1.395,1.637
2020-10-22,0.075,0.087,0.09,0.11,0.123,0.154,0.205,0.375,0.611,0.857,1.437,1.677
2020-10-23,0.076,0.089,0.09,0.109,0.121,0.156,0.203,0.377,0.609,0.844,1.406,1.642
2020-10-26,0.076,0.089,0.088,0.103,0.122,0.15,0.192,0.352,0.573,0.803,1.359,1.593
2020-10-27,0.076,0.085,0.093,0.104,0.121,0.148,0.182,,,0.769,1.319,1.554
2020-10-28,0.075,0.085,0.094,0.104,0.118,0.149,0.182,0.34,,0.773,1.322,1.555
2020-10-29,0.08,0.085,0.089,0.103,0.121,0.15,0.19,0.371,0.605,0.824,1.369,1.604
2020-10-30,0.08,0.087,0.089,0.099,0.119,0.155,0.198,0.385,0.644,0.875,1.428,1.662
2020-11-02,0.084,0.087,0.09,0.103,0.119,0.157,0.195,0.376,0.625,0.845,1.388,1.618
2020-11-03,0.085,0.089,0.094,0.109,0.119,0.169,0.212,0.396,0.663,0.9,1.456,1.682
2020-11-04,0.081,0.089,0.089,0.098,0.122,0.147,0.185,0.329,0.551,0.765,1.31,1.543
2020-11-05,0.08,0.087,0.091,0.095,0.119,0.146,0.188,0.327,0.549,0.764,1.297,1.525
2020-11-06,0.079,0.085,0.089,0.095,0.119,0.154,0.2,0.362,0.592,0.82,1.371,1.602
2020-11-09,0.089,0.089,0.09,0.103,0.124,0.174,0.24,0.429,0.683,0.924,1.482,1.711
2020-11-10,0.085,0.089,0.095,0.1,0.119,0.183,0.254,0.455,0.718,0.978,1.516,1.743
2020-11-11,0.085,0.089,0.095,0.1,0.119,0.183,0.254,0.455,0.718,0.978,1.516,1.743
2020-11-12,0.084,0.089,0.089,0.099,0.117,0.178,0.229,0.392,0.638,0.882,1.41,1.64
2020-11-13,0.084,0.082,0.089,0.096,0.119,0.181,0.236,0.407,0.653,0.898,1.421,1.648
2020-11-16,0.084,0.085,0.086,0.094,0.112,0.178,0.233,0.407,0.66,0.908,1.433,1.664
2020-11-17,0.076,0.079,0.082,0.091,0.109,0.17,0.22,0.38,0.621,0.859,1.383,1.607
2020-11-18,0.06,0.074,0.074,0.089,0.105,0.175,0.228,0.396,0.637,0.871,1.4,1.601
2020-11-19,0.052,0.062,0.062,0.089,0.101,0.163,0.216,0.374,0.606,0.83,1.344,1.546
2020-11-20,0.066,0.067,0.067,0.087,0.101,0.159,0.209,0.372,0.606,0.825,1.327,1.521
2020-11-23,0.07,0.072,0.081,0.087,0.099,0.162,0.214,0.392,0.628,0.855,1.353,1.554
2020-11-24,0.067,0.075,0.08,0.089,0.1,0.162,0.217,0.396,0.648,0.881,1.402,1.607
2020-11-25,0.075,0.077,0.085,0.09,0.103,0.16,0.206,0.395,0.648,0.882,1.412,1.625
2020-11-26,0.075,0.077,0.085,0.09,0.103,0.16,0.206,0.395,0.648,0.882,1.412,1.625
2020-11-27,0.079,0.077,0.08,0.09,0.1,0.153,0.193,0.366,0.61,0.839,1.361,1.572
2020-11-30,0.079,0.077,0.08,0.087,0.109,0.149,0.188,0.362,0.612,0.841,1.36,1.569
2020-12-01,0.067,0.072,0.084,0.093,0.103,0.168,0.217,0.417,0.685,0.928,1.46,1.67
2020-12-02,0.067,0.075,0.084,0.09,0.109,0.16,0.214,0.415,0.686,0.937,1.481,1.687
2020-12-03,0.067,0.072,0.08,0.089,0.101,0.152,0.201,0.395,0.658,0.907,1.448,1.655
2020-12-04,0.071,0.072,0.079,0.094,0.101,0.152,0.213,0.418,0.7,0.968,1.526,1.735
2020-12-07,0.072,0.075,0.076,0.087,0.101,0.143,0.198,0.387,0.659,0.924,1.474,1.681
2020-12-08,0.07,0.071,0.072,0.089,0.101,0.153,0.21,0.393,0.659,0.92,1.458,1.664
2020-12-09,0.065,0.07,0.074,0.085,0.099,0.151,0.214,0.404,0.673,0.937,1.475,1.685
2020-12-10,0.063,0.068,0.075,0.079,0.094,0.14,0.196,0.387,0.648,0.908,1.425,1.628
2020-12-11,0.067,0.071,0.07,0.079,0.085,0.119,0.177,0.366,0.63,0.898,1.421,1.629
2020-12-14,0.068,0.075,0.071,0.079,0.084,0.116,0.171,0.358,0.624,0.894,1.422,1.63
2020-12-15,0.068,0.075,0.071,0.076,0.086,0.116,0.173,0.365,0.636,0.91,1.442,1.652
2020-12-16,0.072,0.08,0.079,0.086,0.085,0.118,0.176,0.368,0.641,0.918,1.451,1.657
2020-12-17,0.074,0.081,0.082,0.087,0.089,0.123,0.184,0.379,0.655,0.934,1.474,1.681
2020-12-18,0.072,0.077,0.082,0.089,0.089,0.122,0.183,0.383,0.662,0.949,1.489,1.693
2020-12-21,0.074,0.084,0.081,0.087,0.089,0.123,0.179,0.381,0.655,0.935,1.469,1.674
2020-12-22,0.066,0.076,0.081,0.089,0.088,0.117,0.166,0.363,0.637,0.918,1.445,1.65
2020-12-23,0.075,0.075,0.081,0.089,0.086,0.121,0.17,0.371,0.657,0.945,1.477,1.683
2020-12-24,0.079,0.08,0.084,0.094,0.091,0.121,0.167,0.363,0.646,0.926,1.458,1.663
2020-12-25,0.081,0.076,0.084,0.094,0.091,0.121,0.167,0.363,0.646,0.926,1.458,1.663
2020-12-28,0.086,0.084,0.087,0.101,0.103,0.122,0.167,0.356,0.64,0.925,1.454,1.661
2020-12-29,0.084,0.08,0.091,0.095,0.103,0.128,0.171,0.379,0.662,0.939,1.47,1.676
2020-12-30,0.048,0.071,0.08,0.085,0.105,0.124,0.167,0.369,0.652,0.925,1.454,1.657
2020-12-31,0.057,0.061,0.072,0.085,0.107,0.122,0.166,0.362,0.646,0.916,1.442,1.646
2021-01-01,0.057,0.061,0.072,0.085,0.107,0.122,0.166,0.362,0.646,0.916,1.442,1.646
2021-01-04,0.08,0.08,0.08,0.087,0.099,0.115,0.158,0.35,0.633,0.914,1.448,1.657
2021-01-05,0.08,0.081,0.081,0.084,0.098,0.123,0.172,0.377,0.669,0.957,1.498,1.709
