tanggal,Yield_INDO_USD_Jan_25,Yield_INDO_USD_Jan_26,Yield_INDO_USD_Jan_27,Yield_INDO_USD_Jul_27,Yield_INDO_USD_Sep_27,Yield_INDO_USD_Jan_28A,Yield_INDO_USD_Jan_28,Yield_INDO_USD_Apr_28,Yield_INDO_USD_Feb_29,Yield_INDO_USD_Mar_29,Yield_INDO_USD_Sep_29,Yield_INDO_USD_Jan_30,Yield_INDO_USD_Feb_30,Yield_INDO_USD_Oct_30,Yield_INDO_USD_Mar_31,Yield_INDO_USD_Apr_31,Yield_INDO_USD_Jul_31,Yield_INDO_USD_Mar_32,Yield_INDO_USD_Sep_32,Yield_INDO_USD_Jan_33,Yield_INDO_USD_Feb_34,Yield_INDO_USD_Sep_34,Yield_INDO_USD_Jan_35,Yield_INDO_USD_Oct_35,Yield_INDO_USD_Apr_36,Yield_INDO_USD_Feb_37,Yield_INDO_USD_Jan_38,Yield_INDO_USD_Jan_42,Yield_INDO_USD_Apr_43,Yield_INDO_USD_Jan_44,Yield_INDO_USD_Jan_45,Yield_INDO_USD_Jan_46,Yield_INDO_USD_Jan_47,Yield_INDO_USD_Jul_47,Yield_INDO_USD_Jan_48,Yield_INDO_USD_Feb_49,Yield_INDO_USD_Oct_49,Yield_INDO_USD_Feb_50,Yield_INDO_USD_Oct_50,Yield_INDO_USD_Mar_51,Yield_INDO_USD_Mar_52,Yield_INDO_USD_Sep_52,Yield_INDO_USD_Jan_53,Yield_INDO_USD_Feb_54,Yield_INDO_USD_Sep_54,Yield_INDO_USD_Sep_61,Yield_INDO_USD_Apr_70,Yield_INDO_USD_Mar_71,Yield_INDO_EUR_Sep_26,Yield_INDO_EUR_Feb_27,Yield_INDO_EUR_Jun_28,Yield_INDO_EUR_Jul_29,Yield_INDO_EUR_Oct_31,Yield_INDO_EUR_Sep_32,Yield_INDO_EUR_Jan_33,Yield_INDO_EUR_Okt_33,Yield_INDO_EUR_Mar_33,Yield_INDO_EUR_Mar_34,Yield_INDO_EUR_Jan_37,Yield_INDO_AUD_Aug_30,Yield_INDO_AUD_Aug_35,Yield_INDO_USD_Feb_31,Yield_INDO_USD_Feb_36,Yield_INDO_USD_Feb_56
2024-01-09,5.166,4.802,4.738,4.722,4.743,4.738,4.78,4.765,4.712,4.701,4.768,,4.814,4.848,4.868,,4.907,4.913,4.927,4.851,4.928,,,5.099,,5.133,5.225,5.313,5.18,5.364,5.271,5.322,5.278,5.22,5.29,5.277,5.196,5.214,5.234,4.997,5.25,5.334,5.327,5.3,,5.208,5.332,5.19,3.775,3.752,3.657,3.701,3.81,,,,3.923,3.947,,,,,,
2024-01-10,5.154,4.787,4.723,4.711,4.723,4.72,4.754,4.739,4.689,4.657,4.731,,4.777,4.802,4.788,,4.799,4.828,4.845,4.796,4.881,,,5.06,,5.087,5.183,5.267,5.143,5.309,5.225,5.277,5.241,5.182,5.247,5.239,5.157,5.168,5.201,4.942,5.196,5.291,5.266,5.259,,5.165,5.294,5.155,3.771,3.744,3.654,3.703,3.804,,,,3.918,3.945,,,,,,
2024-01-11,5.128,4.762,4.712,4.708,4.706,4.711,4.747,4.736,4.68,4.648,4.727,,4.777,4.786,4.77,,4.779,4.805,4.813,4.754,4.852,,,5.034,,5.057,5.158,5.228,5.111,5.259,5.18,5.259,5.209,5.145,5.187,5.212,5.124,5.143,5.176,4.904,5.161,5.249,5.224,5.227,,5.126,5.25,5.121,3.777,3.749,3.644,3.7,3.793,,,,3.916,3.944,,,,,,
2024-01-12,5.063,4.742,4.681,4.684,4.68,4.685,4.717,4.703,4.655,4.633,4.701,,4.744,4.75,4.747,,4.763,4.788,4.809,4.731,4.843,,,5.018,,5.036,5.142,5.208,5.093,5.238,5.159,5.243,5.191,5.121,5.168,5.197,5.102,5.127,5.16,4.89,5.147,5.228,5.21,5.212,,5.106,5.231,5.102,3.763,3.726,3.63,3.687,3.785,,,,3.908,3.94,,,,,,
2024-01-15,5.063,4.742,4.681,4.684,4.68,4.685,4.717,4.703,4.655,4.633,4.701,,4.744,4.75,4.747,,4.763,4.788,4.809,4.731,4.843,,,5.018,,5.036,5.142,5.208,5.093,5.238,5.159,5.243,5.191,5.121,5.168,5.197,5.102,5.127,5.16,4.89,5.147,5.228,5.21,5.212,,5.106,5.231,5.102,3.75,3.692,3.626,3.674,3.77,,,,3.904,3.938,,,,,,
2024-01-16,4.958,4.725,4.653,4.666,4.681,4.669,4.709,4.675,4.653,4.659,4.716,,4.783,4.773,4.776,,4.802,4.825,4.845,4.781,4.866,,,5.035,,5.05,5.157,5.24,5.119,5.264,5.188,5.266,5.225,5.153,5.197,5.212,5.134,5.154,5.181,4.915,5.167,5.255,5.247,5.247,,5.13,5.249,5.13,3.754,3.697,3.63,3.679,3.776,,,,3.922,3.955,,,,,,
2024-01-17,4.941,4.736,4.663,4.694,4.739,4.722,4.757,4.727,4.717,4.734,4.79,,4.85,4.835,4.867,,4.9,4.898,4.912,4.858,4.929,,,5.117,,5.125,5.228,5.322,5.193,5.346,5.266,5.342,5.303,5.237,5.276,5.28,5.217,5.236,5.256,4.996,5.248,5.327,5.33,5.337,,5.213,5.323,5.21,3.762,3.72,3.649,3.7,3.793,,,,3.93,3.964,,,,,,
2024-01-18,4.896,4.748,4.691,4.718,4.758,4.743,4.777,4.736,4.729,4.73,4.817,,4.864,4.854,4.885,,4.914,4.904,4.903,4.852,4.922,,,5.121,,5.132,5.23,5.306,5.192,5.347,5.269,5.347,5.305,5.238,5.285,5.284,5.221,5.251,5.265,5.006,5.25,5.328,5.33,5.328,,5.226,5.336,5.229,3.764,3.724,3.647,3.709,3.799,,,,3.933,3.969,,,,,,
2024-01-19,4.881,4.765,4.722,4.75,4.791,4.783,4.817,4.766,4.762,4.775,4.857,,4.903,4.894,4.948,,4.978,4.955,4.934,4.895,4.953,,,5.189,,5.206,5.286,5.364,5.248,5.398,5.323,5.399,5.359,5.296,5.34,5.339,5.287,5.311,5.319,5.063,5.3,5.379,5.371,5.366,,5.279,5.382,5.285,3.765,3.74,3.657,3.727,3.805,,,,3.946,3.974,,,,,,
2024-01-22,4.804,4.754,4.724,4.749,4.773,4.771,4.789,4.745,4.754,4.746,4.846,,4.891,4.871,4.901,,4.942,4.928,4.904,4.874,4.935,,,5.186,,5.192,5.266,5.329,5.215,5.376,5.291,5.375,5.338,5.268,5.323,5.313,5.261,5.279,5.294,5.032,5.269,5.356,5.346,5.34,,5.251,5.357,5.261,3.767,3.726,3.644,3.725,3.8,,,,3.938,3.974,,,,,,
2024-01-23,4.749,4.755,4.728,4.749,4.79,4.775,4.795,4.743,4.751,4.748,4.847,,4.887,4.871,4.907,,4.937,4.918,4.91,4.87,4.93,,,5.199,,5.206,5.27,5.338,5.225,5.395,5.299,5.391,5.351,5.285,5.336,5.333,5.277,5.294,5.308,5.049,5.287,5.378,5.374,5.356,,5.267,5.367,5.27,3.765,3.745,3.653,3.735,3.82,,,,3.953,3.975,,,,,,
2024-01-24,4.73,4.745,4.723,4.735,4.784,4.779,4.805,4.75,4.749,4.75,4.851,,4.897,4.872,4.906,,4.947,4.923,4.922,4.867,4.919,,,5.196,,5.21,5.263,5.34,5.228,5.395,5.304,5.395,5.357,5.29,5.343,5.342,5.284,5.303,5.317,5.054,5.291,5.385,5.378,5.357,,5.277,5.38,5.282,3.777,3.756,3.662,3.742,3.824,,,,3.962,3.982,,,,,,
2024-01-25,4.777,4.786,4.777,4.776,4.855,4.84,4.862,4.809,4.799,4.798,4.907,,4.952,4.917,4.966,,5.011,4.987,4.976,4.93,4.977,,,5.249,,5.266,5.312,5.398,5.295,5.446,5.367,5.448,5.411,5.348,5.403,5.398,5.352,5.372,5.381,5.123,5.355,5.449,5.437,5.423,,5.35,5.435,5.338,3.786,3.774,3.669,3.754,3.847,,,,3.977,3.998,,,,,,
2024-01-26,4.766,4.759,4.754,4.756,4.83,4.79,4.822,4.757,4.776,4.761,4.862,,4.907,4.879,4.911,,4.962,4.949,4.939,4.885,4.933,,,5.214,,5.231,5.278,5.359,5.26,5.414,5.33,5.414,5.38,5.317,5.375,5.369,5.319,5.345,5.347,5.091,5.319,5.417,5.407,5.395,,5.317,5.41,5.317,3.775,3.744,3.641,3.723,3.818,,,,3.95,3.977,,4.333,5.203,,,
2024-01-29,4.71,4.756,4.76,4.761,4.834,4.782,4.822,4.754,4.773,4.752,4.842,,4.903,4.868,4.901,,4.95,4.919,4.933,4.879,4.919,,,5.214,,5.225,5.274,5.35,5.249,5.406,5.322,5.402,5.365,5.305,5.354,5.355,5.308,5.331,5.333,5.083,5.303,5.411,5.4,5.369,,5.312,5.405,5.313,3.751,3.718,3.61,3.703,3.786,,,,3.921,3.959,,4.343,5.192,,,
2024-01-30,4.665,4.74,4.748,4.744,4.814,4.751,4.794,4.726,4.727,4.712,4.8,,4.857,4.833,4.842,,4.875,4.873,4.887,4.83,4.869,,,5.161,,5.174,5.232,5.279,5.191,5.354,5.262,5.349,5.311,5.253,5.307,5.308,5.257,5.279,5.275,5.025,5.256,5.369,5.362,5.329,,5.261,5.366,5.268,3.748,3.718,3.601,3.688,3.773,,,,3.911,3.934,,4.321,5.147,,,
2024-01-31,4.618,4.724,4.752,4.745,4.81,4.75,4.772,4.712,4.721,4.695,4.773,,4.837,4.816,4.81,,4.864,4.848,4.872,4.812,4.849,,,5.122,,5.141,5.186,5.244,5.153,5.322,5.228,5.318,5.271,5.212,5.268,5.263,5.223,5.24,5.235,4.985,5.223,5.337,5.328,5.292,,5.219,5.32,5.227,3.733,3.695,3.592,3.666,3.747,,,,3.879,3.91,,4.274,5.081,,,
2024-02-01,4.627,4.677,4.713,4.72,4.768,4.705,4.72,4.669,4.688,4.66,4.728,,4.8,4.777,4.762,,4.825,4.812,4.839,4.77,4.815,,,5.079,,5.108,5.155,5.211,5.123,5.295,5.203,5.288,5.235,5.18,5.235,5.242,5.192,5.208,5.21,4.957,5.196,5.316,5.322,5.27,,5.2,5.301,5.208,3.729,3.685,3.569,3.653,3.726,,,,3.847,3.89,,4.248,5.064,,,
2024-02-02,4.592,4.636,4.663,4.674,4.708,4.634,4.673,4.612,4.625,4.603,4.664,,4.746,4.715,4.692,,4.756,4.76,4.795,4.718,4.745,,,5.023,,5.043,5.096,5.135,5.04,5.225,5.132,5.225,5.17,5.115,5.163,5.176,5.121,5.134,5.134,4.884,5.129,5.253,5.271,5.21,,5.124,5.241,5.139,3.719,3.666,3.549,3.628,3.697,,,,3.824,3.87,,4.29,5.11,,,
2024-02-05,4.676,4.755,4.814,4.828,4.871,4.832,4.855,4.798,4.8,4.782,4.843,,4.93,4.901,4.867,,4.922,4.9,4.935,4.863,4.903,,,5.165,,5.188,5.227,5.269,5.179,5.344,5.261,5.344,5.292,5.237,5.299,5.297,5.256,5.261,5.258,5.018,5.252,5.367,5.375,5.322,,5.26,5.36,5.268,3.747,3.718,3.594,3.668,3.763,,,,3.866,3.917,,4.297,5.115,,,
2024-02-06,4.658,4.758,4.831,4.841,4.889,4.875,4.893,4.832,4.823,4.812,4.883,,4.961,4.922,4.889,,4.959,4.938,4.964,4.893,4.931,,,5.211,,5.236,5.276,5.306,5.227,5.386,5.307,5.384,5.331,5.287,5.349,5.34,5.3,5.307,5.293,5.064,5.29,5.401,5.401,5.359,,5.298,5.398,5.313,3.771,3.742,3.615,3.705,3.793,,,,3.893,3.948,,4.342,5.161,,,
2024-02-07,4.619,4.729,4.808,4.813,4.877,4.835,4.86,4.81,4.799,4.794,4.847,,4.934,4.895,4.845,,4.921,4.914,4.947,4.858,4.9,,,5.186,,5.21,5.238,5.267,5.189,5.355,5.269,5.351,5.293,5.247,5.302,5.297,5.26,5.269,5.256,5.02,5.257,5.372,5.369,5.326,,5.257,5.365,5.281,3.768,3.736,3.604,3.689,3.77,,,,3.874,3.94,,4.314,5.126,,,
