tanggal,USD,AUD,EUR,GBP,SGD,JPY,MYR,THB,KRW,PHP
2008-01-01,"9,393.00","8,228.30","13,705.53","18,673.70","6,521.68",84.13,"2,842.71",315.74,10.03,227.7
2008-01-02,"9,386.00","8,305.84","13,834.45","18,619.99","6,536.86",85.72,"2,833.50",314.12,10.01,228.71
2008-01-03,"9,405.00","8,287.08","13,886.18","18,558.38","6,562.58",86.12,"2,864.75",315.33,10.05,229.5
2008-01-04,"9,422.00","8,251.01","13,947.35","18,671.91","6,597.63",87.11,"2,874.16",316.39,10.05,230.9
2008-01-07,"9,455.00","8,251.85","13,894.59","18,625.88","6,588.62",86.6,"2,878.11",317.29,10.05,231.18
2008-01-08,"9,455.00","8,305.85","13,902.78","18,645.85","6,598.15",86.8,"2,888.14",317.35,10.06,232.42
2008-01-09,"9,458.00","8,335.55","13,838.30","18,487.73","6,596.67",85.78,"2,889.95",319.82,10.07,233.54
2008-01-10,"9,458.00","8,451.75","13,972.22","18,511.18","6,597.12",86.32,"2,886.97",321.56,10.07,232.45
2008-01-11,"9,433.00","8,401.58","13,935.51","18,453.20","6,577.52",86.65,"2,896.55",319.17,10.05,232.65
2008-01-14,"9,434.00","8,483.70","14,021.46","18,445.31","6,599.02",87.18,"2,898.06",316.98,10.06,233.27
2008-01-15,"9,438.00","8,330.17","14,002.30","18,566.19","6,613.18",88.57,"2,890.08",316.45,10.1,233.81
2008-01-16,"9,437.00","8,316.95","13,852.99","18,564.89","6,601.96",87.84,"2,887.55",317.28,10.03,231.91
2008-01-17,"9,444.00","8,318.94","13,894.78","18,710.01","6,604.99",89.05,"2,883.77",311.01,9.94,232.31
2008-01-18,"9,442.00","8,322.85","13,843.16","18,513.25","6,583.25",88.6,"2,881.29",300.65,10.0,232.63
2008-01-21,"9,443.00","8,149.32","13,673.95","18,384.09","6,536.54",89.27,"2,877.62",302.73,9.94,230.31
2008-01-22,"9,322.00","8,184.20","13,786.89","18,481.95","6,568.63",88.55,"2,872.69",306.26,9.95,228.43
2008-01-23,"9,396.00","8,171.75","13,700.05","18,311.85","6,557.84",87.69,"2,874.55",300.21,9.86,227.85
2008-01-24,"9,380.00","8,247.17","13,795.92","18,480.27","6,554.74",87.24,"2,898.75",300.45,9.87,229.86
2008-01-25,"9,329.00","8,225.20","13,728.14","18,542.69","6,565.09",87.6,"2,881.36",300.16,9.85,229.45
2008-01-28,"9,351.00","8,298.82","13,799.93","18,522.04","6,577.40",87.33,"2,887.35",300.51,9.86,228.66
2008-01-29,"9,321.00","8,296.56","13,783.98","18,557.59","6,558.02",87.09,"2,882.62",297.55,9.9,230.49
