tanggal,Indonesia,Malaysia,Filipina,Thailand,Chile,Colombia,Brazil,Afrika_Selatan,Turki,India,Polandia,Jerman,Jepang,Argentina,Vietnam,Mexico,China,Portugal,Euro,Singapore,South_Korea,Ukraine
2024-11-11,15680.0,4.41,58.61,34.37,980.35,4361.71,5.76,17.94,34.34,84.39,4.09,1.84,153.72,998.19,25311.0,20.34,7.22,188.16,0.94,1.33,1401.4,41.35
2024-11-12,15780.0,4.44,58.83,34.8,985.1,4452.0,5.76,18.11,34.36,84.39,4.09,1.84,154.61,997.8,25349.0,20.59,7.23,188.73,0.94,1.34,1408.15,41.4
2024-11-13,15775.0,4.45,58.75,34.68,978.78,4478.56,5.8,18.22,34.36,84.38,4.11,1.85,155.46,998.19,25346.0,20.51,7.23,189.78,0.95,1.34,1404.0,41.33
2024-11-14,15855.0,4.49,58.79,35.1,975.51,4486.0,5.8,18.27,34.33,84.41,4.11,1.86,156.27,999.52,25394.0,20.4,7.23,190.39,0.95,1.35,1401.6,41.3
2024-11-15,15855.0,4.47,58.74,34.82,979.33,4429.77,5.8,18.19,34.42,84.41,4.1,1.86,154.3,998.37,25389.0,20.35,7.23,190.21,0.95,1.34,1398.45,41.34
2024-11-18,15850.0,4.48,58.68,34.8,972.96,4402.75,5.75,17.96,34.54,84.4,4.07,1.85,154.66,998.37,25398.0,20.21,7.23,189.16,0.94,1.34,1396.4,41.25
2024-11-19,15830.0,4.47,58.82,34.6,971.9,4391.99,5.77,18.05,34.43,84.41,4.09,1.85,154.66,1001.82,25401.0,20.11,7.24,189.21,0.94,1.34,1392.8,41.28
2024-11-20,15865.0,4.47,58.92,34.72,972.95,4402.06,5.77,18.12,34.46,84.41,4.11,1.86,155.44,1002.78,25416.0,20.28,7.25,190.14,0.95,1.34,1400.45,41.33
2024-11-21,15925.0,4.47,59.0,34.64,974.08,4392.45,5.81,18.11,34.45,84.5,4.15,1.87,154.54,1004.06,25420.0,20.42,7.24,191.41,0.95,1.35,1398.6,41.28
2024-11-22,15875.0,4.47,58.92,34.58,986.01,4416.49,5.81,18.11,34.55,84.46,4.16,1.88,154.78,1004.19,25422.0,20.44,7.25,192.44,0.96,1.35,1406.0,41.44
2024-11-25,15870.0,4.45,58.99,34.64,976.8,4385.8,5.81,18.06,34.56,84.29,4.11,1.86,154.23,1006.33,25416.0,20.3,7.25,191.02,0.95,1.35,1399.9,41.51
2024-11-26,15930.0,4.46,59.0,34.7,978.0,4402.38,5.81,18.2,34.64,84.34,4.1,1.86,153.08,1007.2,25413.0,20.65,7.25,191.14,0.95,1.35,1396.7,41.58
2024-11-27,15930.0,4.44,58.72,34.59,977.67,4386.95,5.93,18.18,34.64,84.45,4.07,1.85,151.09,1008.19,25387.0,20.59,7.25,189.74,0.95,1.34,1391.5,41.62
2024-11-28,15870.0,4.45,58.69,34.44,977.43,4402.49,6.01,18.11,34.64,84.5,4.08,1.85,151.55,1009.38,25376.0,20.43,7.24,189.99,0.95,1.34,1394.55,41.6
2024-11-29,15845.0,4.45,58.64,34.3,973.68,4433.36,5.97,18.06,34.7,84.49,4.06,1.85,149.77,1010.38,25346.0,20.38,7.25,189.55,0.95,1.34,1397.2,41.61
2024-12-02,15900.0,4.46,58.67,34.49,977.83,4460.08,6.07,18.13,34.72,84.7,4.08,1.86,149.6,1011.61,25372.0,20.4,7.27,190.96,0.95,1.34,1404.15,41.69
2024-12-03,15940.0,4.47,58.58,34.39,972.25,4440.81,6.05,18.12,34.73,84.7,4.09,1.86,149.6,1011.83,25401.0,20.32,7.29,190.77,0.95,1.34,1428.5,41.69
2024-12-04,15930.0,4.45,58.26,34.34,974.66,4415.73,6.04,18.16,34.74,84.74,4.07,1.86,150.59,1012.22,25405.0,20.3,7.26,190.74,0.95,1.34,1413.5,41.64
2024-12-05,15860.0,4.43,57.89,34.34,970.25,4415.27,6.01,18.02,34.7,84.74,4.03,1.85,150.1,1012.39,25392.0,20.2,7.26,189.39,0.94,1.34,1416.6,41.54
2024-12-06,15850.0,4.42,57.75,34.07,974.98,4407.95,6.09,18.03,34.7,84.7,4.04,1.85,150.0,1012.75,25385.0,20.19,7.27,189.71,0.95,1.34,1423.4,41.45
2024-12-09,15865.0,4.43,58.02,33.81,969.03,4372.26,6.08,17.77,34.83,84.73,4.04,1.85,151.21,1015.75,25374.0,20.24,7.26,189.96,0.95,1.34,1430.95,41.55
2024-12-10,15865.0,4.43,58.02,33.81,975.15,4371.19,6.05,17.81,34.85,84.85,4.05,1.86,151.95,1016.1,25372.0,20.17,7.25,190.44,0.95,1.34,1431.75,41.68
2024-12-11,15915.0,4.43,58.3,33.89,976.0,4345.1,5.96,17.7,34.88,84.84,4.07,1.86,152.45,1016.56,25375.0,20.14,7.26,191.01,0.95,1.34,1429.85,41.7
2024-12-12,15925.0,4.44,58.25,33.84,978.95,4346.97,6.0,17.8,34.88,84.87,4.08,1.87,152.63,1018.2,25394.0,20.22,7.27,191.52,0.96,1.35,1431.0,41.63
2024-12-13,15995.0,4.45,58.47,34.13,986.38,4317.91,6.06,17.87,34.95,84.8,4.06,1.86,153.65,1018.01,25404.0,20.13,7.27,190.91,0.95,1.35,1435.45,41.69
2024-12-16,16000.0,4.45,58.69,34.07,991.1,4321.25,6.13,17.86,34.95,84.87,4.05,1.86,154.15,1021.07,25393.0,20.14,7.28,190.72,0.95,1.35,1436.85,41.78
2024-12-17,16065.0,4.47,58.89,34.27,987.83,4345.8,6.11,18.1,34.98,84.9,4.07,1.86,153.46,1020.38,25428.0,20.18,7.28,191.1,0.95,1.35,1437.25,41.88
2024-12-18,16090.0,4.47,59.0,34.25,990.6,4372.84,6.29,18.34,35.04,84.96,4.12,1.89,154.8,1022.19,25452.0,20.37,7.29,193.65,0.97,1.36,1438.95,41.97
2024-12-19,16290.0,4.51,59.0,34.54,992.5,4378.59,6.14,18.39,35.09,85.08,4.11,1.89,157.44,1021.96,25461.0,20.31,7.3,193.47,0.97,1.36,1447.15,41.92
2024-12-20,16195.0,4.51,58.8,34.47,990.45,4386.38,6.09,18.31,35.19,85.02,4.09,1.88,156.31,1022.23,25455.0,20.07,7.3,192.21,0.96,1.36,1447.15,41.96
2024-12-23,16175.0,4.49,58.46,34.21,991.8,4419.98,6.19,18.56,35.22,85.12,4.1,1.88,157.17,1025.71,25450.0,20.17,7.3,192.67,0.96,1.36,1451.65,42.04
2024-12-24,16195.0,4.49,58.46,34.15,986.9,4373.69,6.16,18.68,35.19,85.2,4.1,1.88,157.19,1025.75,25441.0,20.17,7.3,192.8,0.96,1.36,1458.05,41.98
2024-12-25,16195.0,4.49,58.46,34.22,986.9,4373.69,6.16,18.66,35.11,85.2,4.11,1.88,157.33,1025.75,25431.0,20.17,7.29,192.64,0.96,1.36,1458.05,41.85
2024-12-26,16195.0,4.47,57.97,34.27,990.37,4383.85,6.18,18.84,35.17,85.27,4.09,1.88,157.99,1026.56,25431.0,20.23,7.3,192.36,0.96,1.36,1470.55,41.85
2024-12-27,16235.0,4.47,57.84,34.11,993.93,4408.03,6.19,18.7,35.06,85.54,4.09,1.88,157.87,1028.69,25452.0,20.33,7.3,192.29,0.96,1.36,1470.9,41.96
2024-12-30,16135.0,4.47,57.84,34.1,994.92,4404.8,6.18,18.81,35.31,85.54,4.11,1.88,156.84,1030.69,25483.0,20.65,7.3,192.64,0.96,1.36,1471.95,42.09
2024-12-31,16102.0,4.47,57.84,34.1,994.92,4405.77,6.18,18.84,35.37,85.61,4.13,1.89,157.2,1030.99,25485.0,20.83,7.3,193.64,0.97,1.37,1471.95,42.01
2025-01-01,16102.0,4.47,57.84,34.1,994.92,4405.77,6.18,18.8,35.37,85.65,4.13,1.89,157.24,1030.99,25488.0,20.82,7.3,193.59,0.97,1.37,1471.95,42.02
2025-01-02,16195.0,4.48,57.91,34.28,1005.25,4375.3,6.15,18.75,35.3,85.76,4.16,1.91,157.5,1031.62,25457.0,20.6,7.3,195.31,0.97,1.37,1471.35,42.08
2025-01-03,16190.0,4.5,58.2,34.46,1018.25,4346.85,6.19,18.72,35.38,85.78,4.14,1.9,157.26,1032.23,25428.0,20.63,7.32,194.49,0.97,1.37,1470.85,42.16
2025-01-06,16195.0,4.51,58.29,34.62,1011.6,4346.85,6.12,18.58,35.3,85.83,4.09,1.88,157.62,1034.75,25388.0,20.32,7.33,192.95,0.96,1.36,1460.55,42.25
2025-01-07,16131.0,4.49,58.16,34.48,1004.57,4340.06,6.1,18.7,35.33,85.72,4.12,1.89,158.05,1035.25,25374.0,20.33,7.33,193.89,0.97,1.36,1451.75,42.26
2025-01-08,16195.0,4.5,58.4,34.62,1001.89,4327.2,6.11,18.9,35.33,85.86,4.14,1.9,158.35,1035.74,25380.0,20.4,7.33,194.3,0.97,1.37,1460.55,42.33
2025-01-09,16200.0,4.5,58.5,34.63,1007.7,4332.0,6.04,18.93,35.34,85.86,4.14,1.9,158.14,1036.75,25382.0,20.51,7.33,194.65,0.97,1.37,1459.75,42.39
2025-01-10,16185.0,4.5,58.36,34.58,1012.75,4345.0,6.11,19.11,35.43,85.97,4.16,1.91,157.73,1036.76,25371.0,20.72,7.33,195.7,0.98,1.37,1471.3,42.26
2025-01-13,16275.0,4.51,58.72,34.79,1007.28,4306.75,6.1,19.04,35.48,86.58,4.17,1.91,157.48,1039.35,25397.0,20.65,7.33,195.69,0.98,1.37,1467.9,42.35
2025-01-14,16265.0,4.51,58.63,34.76,1003.07,4294.5,6.05,18.92,35.48,86.65,4.14,1.9,157.96,1040.28,25389.0,20.51,7.33,194.49,0.97,1.37,1461.25,42.28
2025-01-15,16320.0,4.5,58.61,34.73,1006.11,4302.14,6.01,18.78,35.45,86.36,4.14,1.9,156.47,1040.75,25387.0,20.46,7.33,194.85,0.97,1.37,1455.75,42.2
2025-01-16,16360.0,4.5,58.6,34.6,1012.35,4343.73,6.05,18.83,35.43,86.55,4.14,1.9,155.16,1041.25,25379.0,20.84,7.33,194.62,0.97,1.37,1458.25,42.15
2025-01-17,16365.0,4.51,58.62,34.46,1006.1,4335.35,6.08,18.75,35.4,86.61,4.15,1.9,156.3,1041.76,25333.0,20.79,7.33,195.16,0.97,1.37,1457.35,42.12
2025-01-20,16360.0,4.49,58.52,34.3,1001.72,4318.75,6.03,18.54,35.57,86.57,4.08,1.88,155.62,1045.75,25321.0,20.5,7.27,192.48,0.96,1.36,1440.25,42.19
2025-01-21,16335.0,4.48,58.49,34.1,1003.5,4306.16,6.03,18.5,35.63,86.59,4.08,1.88,155.52,1046.12,25272.0,20.63,7.27,192.26,0.96,1.35,1435.7,42.11
2025-01-22,16285.0,4.44,58.51,33.82,991.03,4266.2,5.94,18.49,35.65,86.33,4.06,1.88,156.53,1047.25,25098.0,20.5,7.28,192.61,0.96,1.36,1435.95,42.02
2025-01-23,16280.0,4.44,58.7,34.02,987.75,4230.88,5.92,18.51,35.65,86.47,4.05,1.88,156.05,1047.1,25108.0,20.39,7.29,192.48,0.96,1.36,1435.25,41.97
2025-01-24,16173.0,4.38,58.34,33.65,982.5,4178.25,5.91,18.4,35.67,86.21,4.01,1.86,156.0,1046.26,25085.0,20.27,7.24,190.99,0.95,1.35,1430.5,41.89
2025-01-27,16173.0,4.38,58.44,33.7,987.9,4198.48,5.9,18.73,35.75,86.34,4.02,1.86,154.51,1049.62,25081.0,20.68,7.24,191.08,0.95,1.34,1430.5,42.01
2025-01-28,16173.0,4.39,58.43,33.91,993.88,4219.0,5.87,18.69,35.73,86.53,4.03,1.88,155.54,1050.13,25083.0,20.56,7.24,192.21,0.96,1.35,1430.5,41.95
2025-01-29,16173.0,4.39,58.43,33.77,991.85,4169.15,5.87,18.54,35.81,86.56,4.03,1.88,155.22,1051.27,25081.0,20.52,7.24,192.38,0.96,1.35,1430.5,41.9
2025-01-30,16260.0,4.39,58.31,33.73,984.25,4155.03,5.88,18.59,35.78,86.63,4.04,1.88,154.29,1051.17,25082.0,20.73,7.24,192.94,0.96,1.35,1430.5,41.81
2025-01-31,16300.0,4.46,58.37,33.67,980.25,4209.33,5.84,18.67,35.67,86.62,4.06,1.89,155.19,1050.75,25082.0,20.68,7.24,193.47,0.97,1.36,1454.3,41.68
2025-02-03,16435.0,4.47,58.66,34.03,988.45,4161.71,5.81,18.75,35.96,87.2,4.09,1.89,154.73,1053.44,25291.0,20.37,7.24,193.82,0.97,1.36,1462.4,41.7
2025-02-04,16345.0,4.44,58.35,33.83,971.58,4160.14,5.76,18.68,35.93,87.08,4.06,1.88,154.34,1053.64,25181.0,20.51,7.24,193.16,0.96,1.35,1450.75,41.7
2025-02-05,16285.0,4.42,58.1,33.59,971.85,4176.42,5.8,18.56,35.91,87.46,4.04,1.88,152.61,1053.88,25165.0,20.58,7.27,192.72,0.96,1.35,1444.0,41.61
2025-02-06,16330.0,4.44,58.19,33.78,963.17,4135.67,5.76,18.44,35.88,87.58,4.03,1.88,151.41,1053.9,25258.0,20.46,7.29,193.08,0.96,1.35,1447.25,41.45
2025-02-07,16275.0,4.44,58.01,33.65,964.15,4122.38,5.81,18.4,36.0,87.43,4.06,1.89,151.41,1053.39,25312.0,20.56,7.29,194.12,0.97,1.35,1448.75,41.52
2025-02-10,16345.0,4.47,58.1,33.9,961.33,4137.3,5.79,18.45,36.01,87.48,4.06,1.9,152.0,1055.95,25386.0,20.61,7.31,194.51,0.97,1.36,1451.7,41.61
2025-02-11,16375.0,4.47,58.2,34.06,961.23,4139.46,5.77,18.48,36.04,86.83,4.03,1.89,152.49,1055.62,25529.0,20.56,7.31,193.49,0.97,1.35,1452.7,41.75
2025-02-12,16367.0,4.47,58.19,34.06,952.23,4167.04,5.76,18.53,36.1,86.89,4.01,1.88,154.42,1056.34,25567.0,20.54,7.31,193.09,0.96,1.35,1455.25,41.83
2025-02-13,16355.0,4.46,58.06,33.82,945.38,4139.08,5.77,18.49,36.14,86.9,3.98,1.87,152.8,1056.63,25467.0,20.41,7.29,191.58,0.96,1.34,1448.45,41.76
2025-02-14,16260.0,4.44,57.84,33.62,941.63,4126.25,5.7,18.39,36.23,86.83,3.97,1.86,152.31,1056.26,25399.0,20.31,7.26,191.08,0.95,1.34,1441.05,41.59
2025-02-17,16215.0,4.43,58.02,33.71,948.26,4126.85,5.71,18.4,36.24,86.88,3.97,1.87,151.51,1059.37,25476.0,20.29,7.26,191.22,0.95,1.34,1442.6,41.55
2025-02-18,16275.0,4.45,58.16,33.69,950.68,4093.0,5.68,18.41,36.28,86.95,3.97,1.87,152.06,1058.12,25527.0,20.25,7.28,191.92,0.96,1.34,1440.65,41.64
2025-02-19,16330.0,4.44,58.09,33.69,950.3,4101.37,5.72,18.52,36.3,86.95,4.01,1.88,151.47,1058.38,25520.0,20.45,7.28,192.35,0.96,1.34,1441.95,41.73
2025-02-20,16330.0,4.43,57.93,33.66,943.15,4076.72,5.7,18.35,36.29,86.67,3.96,1.86,149.64,1058.91,25526.0,20.32,7.24,190.91,0.95,1.33,1435.7,41.66
2025-02-21,16305.0,4.42,57.95,33.61,947.17,4082.25,5.73,18.38,36.38,86.71,3.98,1.87,149.27,1058.4,25520.0,20.42,7.25,191.7,0.96,1.34,1434.05,41.63
2025-02-24,16275.0,4.41,57.82,33.51,943.78,4118.26,5.77,18.38,36.44,86.71,3.96,1.87,149.72,1060.14,25477.0,20.48,7.25,191.53,0.96,1.34,1430.15,41.76
2025-02-25,16345.0,4.42,57.94,33.71,941.98,4128.66,5.75,18.42,36.44,87.2,3.94,1.86,149.03,1060.63,25519.0,20.47,7.25,190.69,0.95,1.34,1433.95,41.75
2025-02-26,16370.0,4.43,57.89,33.71,941.53,4103.88,5.81,18.39,36.46,87.2,3.95,1.87,149.1,1061.12,25551.0,20.42,7.26,191.22,0.95,1.34,1433.4,41.63
2025-02-27,16450.0,4.44,57.9,33.92,952.83,4131.46,5.83,18.46,36.44,87.2,4.0,1.88,149.81,1061.94,25542.0,20.49,7.29,192.81,0.96,1.35,1446.75,41.56
2025-02-28,16580.0,4.46,57.99,34.17,963.3,4154.14,5.88,18.69,36.38,87.51,4.04,1.89,150.63,1063.69,25557.0,20.55,7.28,193.23,0.96,1.35,1460.25,41.59
2025-03-03,16480.0,4.47,57.91,34.17,950.48,4108.13,5.88,18.61,36.45,87.36,3.97,1.86,149.5,1063.69,25597.0,20.69,7.29,191.16,0.95,1.35,1460.25,41.58
2025-03-04,16445.0,4.47,57.76,33.84,945.05,4159.5,5.88,18.49,36.45,87.27,3.92,1.84,149.79,1063.69,25566.0,20.59,7.26,188.67,0.94,1.34,1458.95,41.5
2025-03-05,16313.0,4.43,57.35,33.65,930.3,4112.75,5.76,18.33,36.43,86.97,3.85,1.81,148.88,1063.61,25512.0,20.41,7.24,185.82,0.93,1.33,1445.5,41.39
2025-03-06,16330.0,4.43,57.33,33.75,928.25,4102.99,5.76,18.13,36.41,87.12,3.87,1.81,147.98,1063.63,25499.0,20.29,7.24,185.89,0.93,1.33,1447.55,41.29
2025-03-07,16295.0,4.41,57.19,33.65,928.58,4130.83,5.79,18.24,36.47,86.88,3.85,1.81,148.04,1064.94,25513.0,20.25,7.25,185.07,0.92,1.33,1449.45,41.27
2025-03-10,16340.0,4.42,57.4,33.79,944.5,4179.77,5.86,18.33,36.56,87.33,3.88,1.81,147.27,1065.45,25519.0,20.36,7.26,185.04,0.92,1.33,1455.1,41.36
2025-03-11,16405.0,4.41,57.24,33.81,933.48,4132.3,5.81,18.21,36.58,87.21,3.85,1.79,147.78,1065.64,25480.0,20.27,7.23,183.61,0.92,1.33,1454.15,41.44
2025-03-12,16445.0,4.43,57.37,33.86,937.87,4107.04,5.8,18.34,36.59,87.21,3.85,1.8,148.25,1065.89,25462.0,20.18,7.24,184.13,0.92,1.33,1451.65,41.54
2025-03-13,16425.0,4.44,57.36,33.77,936.13,4124.38,5.8,18.33,36.61,87.01,3.86,1.8,147.81,1066.37,25493.0,20.09,7.24,184.74,0.92,1.34,1455.35,41.52
