tanggal,USDAUD_Curncy,USDTRY_Curncy,USDTHB_Curncy,IDR_Curncy,USDKRW_Curncy,JPYEUR_Curncy,JPYAUD_Curncy,USDEUR_Curncy,IHN_1M_Curncy,IHN_3M_Curncy,IHN_6M_Curncy,IHN_12M_Curncy
2022-11-23,1.4852,18.6155,35.998,15687.0,1352.21,0.68919,1.064,0.9618,15640.0,15695.0,15765.0,15873.0
2022-11-24,1.4783,18.6193,35.775,15665.0,1328.44,0.69289,1.0665,0.9606,15647.0,15676.0,15728.0,15839.0
2022-11-25,1.4813,18.5996,35.737,15673.0,1324.49,0.69113,1.0644,0.962,15706.0,15714.0,15772.0,15883.0
2022-11-28,1.5037,18.6288,35.751,15722.0,1340.75,0.6962,1.082,0.9672,15752.0,15772.0,15816.0,15931.0
2022-11-29,1.4953,18.6406,35.472,15743.0,1327.06,0.69794,1.0779,0.9681,15736.0,15768.0,15815.0,15932.0
2022-11-30,1.4732,18.6153,35.11,15732.0,1318.38,0.6959,1.0672,0.9609,15655.0,15676.0,15727.0,15843.0
2022-12-01,1.4681,18.6334,34.79,15563.0,1299.6,0.70197,1.0847,0.9506,15365.0,15438.0,15518.0,15504.0
2022-12-02,1.4727,18.6392,34.787,15426.0,1300.42,0.70643,1.0958,0.9492,15353.0,15376.0,15405.0,15529.0
2022-12-05,1.493,18.6359,35.037,15463.0,1292.6,0.69682,1.0914,0.9532,15530.0,15544.0,15581.0,15652.0
2022-12-06,1.4952,18.6334,35.123,15618.0,1319.57,0.6972,1.091,0.9554,15630.0,15653.0,15688.0,15781.0
2022-12-07,1.4871,18.6417,34.952,15637.0,1322.15,0.69677,1.0885,0.9518,15613.0,15638.0,15673.0,15754.0
2022-12-08,1.4772,18.6419,34.72,15621.0,1317.65,0.69311,1.0806,0.9473,15599.0,15616.0,15653.0,15727.0
2022-12-09,1.4717,18.6508,34.755,15583.0,1301.39,0.69516,1.0772,0.9487,15581.0,15626.0,15663.0,15671.0
