tanggal,Malaysia,Mexico,Thailand,China,Indonesia,Philipina,India,South_Africa,Brazil,Turki,Argentina,USA,Chile,Colombia,German,Japan,Polandia,Portugal,Vietnam,Singapore,South_Korea,Ukraine,Australia,Hongkong,Shanghai,Indonesia_LQ45,SP_500,NASDAQ,FTSE,CAC_40
2023-12-28,1457.41,57464.41,1415.85,2954.704,7303.888,6519.11,72410.38,76485.73,134185.24,7396.34,904067.2,37710.1,6249.47,1195.2,16701.55,33539.62,78937.48,4735.09,1128.93,3214.4,2655.28,507.03,7614.278,17043.53,3414.54,977.07,4783.35,15095.14,7722.74,7535.16
2023-12-29,1454.66,57386.25,1415.85,2974.935,7272.797,6450.04,72240.26,76893.15,134185.24,7470.18,929704.2,37689.54,6197.77,1195.2,16751.64,33464.17,78459.91,4732.28,1129.93,3240.27,2655.28,507.03,7590.818,17047.39,3431.11,970.568,4769.83,15011.35,7733.24,7543.18
2024-01-01,1454.66,57386.25,1415.85,2974.935,7272.797,6450.04,72271.94,76893.15,134185.24,7470.18,929704.2,37689.54,6197.77,1195.2,16751.64,33464.17,78459.91,4732.28,1129.93,3240.27,2655.28,507.03,7590.818,17047.39,3431.11,970.568,4769.83,15011.35,7733.24,7543.18
2024-01-02,1453.1,56980.45,1433.38,2962.276,7323.588,6554.04,71892.48,75709.14,132696.63,7624.29,930419.7,37715.04,6210.59,1222.5,16769.36,33464.17,77451.31,4719.76,1131.72,3229.95,2669.81,507.03,7627.788,16788.55,3386.35,979.433,4742.83,14765.94,7721.52,7530.86
2024-01-03,1462.37,55726.64,1429.62,2967.247,7279.091,6498.88,71356.6,74510.72,132833.95,7412.04,972411.7,37430.19,6139.45,1228.7,16538.39,33464.17,77053.98,4658.24,1144.17,3199.44,2607.31,507.03,7523.2,16646.41,3378.3,973.378,4704.81,14592.21,7682.33,7411.86
2024-01-04,1477.26,55406.96,1434.59,2954.349,7359.763,6602.52,71847.57,74522.49,131225.91,7547.84,1004790.0,37440.34,6076.18,1267.18,16617.29,33288.29,76827.85,4705.67,1150.72,3174.01,2587.02,507.03,7494.098,16645.98,3347.05,988.638,4688.68,14510.3,7723.07,7450.63
2024-01-05,1487.61,56192.78,1427.96,2929.183,7350.619,6629.64,72026.15,74488.2,132022.92,7628.73,1055381.0,37466.11,6047.64,1294.78,16594.21,33377.42,76593.76,4733.17,1154.68,3184.3,2578.08,507.03,7489.072,16535.33,3329.11,986.258,4697.24,14524.07,7689.61,7420.69
2024-01-08,1495.7,56175.68,1418.45,2887.538,7283.575,6609.22,71355.22,74103.23,132426.54,7818.89,1104913.0,37683.01,6056.32,1294.78,16716.47,33377.42,76876.5,4693.81,1160.19,3187.02,2567.82,507.03,7451.548,16224.45,3286.06,976.437,4763.54,14843.77,7694.19,7450.24
2024-01-09,1498.83,55105.58,1414.93,2893.251,7200.203,6618.52,71386.21,73826.15,131446.59,7736.26,1060581.0,37525.16,6107.72,1294.43,16688.36,33763.18,77268.35,4680.37,1158.59,3197.96,2561.24,507.03,7520.524,16190.02,3292.5,970.078,4756.5,14857.71,7683.96,7426.62
2024-01-10,1486.86,55318.67,1413.52,2877.702,7227.297,6546.11,71657.71,73586.98,130841.09,7874.16,1070425.0,37695.73,6056.06,1288.77,16689.81,34441.72,76840.58,4745.33,1161.54,3179.96,2541.98,507.03,7468.459,16097.28,3277.13,969.137,4783.45,14969.65,7651.76,7426.08
2024-01-11,1483.0,55438.75,1408.24,2886.65,7219.964,6613.73,71721.18,73834.28,130648.75,7895.96,1043924.0,37711.02,6029.02,1283.25,16547.03,35049.86,76042.95,4733.28,1162.22,3201.41,2540.27,507.03,7506.026,16302.04,3295.67,969.943,4780.24,14970.18,7576.59,7387.62
