tanggal_lelang_pricing,tanggal_setelmen,metode,seri,code,jatuh_tempo,kupon_imbalan,lowest_incoming_yield_price,way_incoming,highest_incoming_yield_price,lowest_awarded_yield_price,way_awarded,highest_awarded_yield_price,target_penerbitan,total_penawaran,jumlah_penawaran_per_lelang,total_penawaran_memenuhi_benchmark,jumlah_penawaran_memenuhi_benchmark_per_lelang,total_penawaran_diterima,jumlah_penawaran_diterima_per_lelang,bid_to_cover_ratio,owners_estimate,tenor,,
2020-01-07,2020-01-09,Lelang,SPN12200410,spn03m,2020-04-10,Diskonto,0.0425,0.0457515,0.0495,0.0425,0.0441733,0.045,15000000,13200000,81542200,13200000,59990000,1500000,20000000,8.8,0.0465,0.256830601,,
2020-01-07,2020-01-09,Lelang,SPN12210108,spn12m,2021-01-08,Diskonto,0.0464,0.0476556,0.053,0.0464,0.0464067,0.0465,15000000,12440000,81542200,12440000,59990000,1500000,20000000,8.293333333333333,0.049,1.004103967,,
2020-01-07,2020-01-09,Lelang,FR0081,bm05,2025-06-15,0.065,0.0635,0.064117,0.065,0.0635,0.0637939,0.0639,15000000,17034400,81542200,11000000,59990000,5650000,20000000,3.014938053097345,0.0639,5.436131387,,
2020-01-07,2020-01-09,Lelang,FR0082,bm10,2030-09-15,0.07,0.0705,0.0711372,0.0719,0.0705,0.0709341,0.071,15000000,28785500,81542200,16950000,59990000,6400000,20000000,4.497734375,0.071,10.68790443,,
2020-01-07,2020-01-09,Lelang,FR0080,bm15,2035-06-15,0.075,0.0742,0.0746108,0.0755,0.0742,0.0744384,0.0745,15000000,6050000,81542200,4500000,59990000,3100000,20000000,1.9516129032258065,0.0745,15.43600274,,
2020-01-07,2020-01-09,Lelang,FR0083,bm20,2040-04-15,0.075,0.0752,0.0757001,0.0765,0.0752,0.0753888,0.0755,15000000,2412500,81542200,750000,59990000,750000,20000000,3.216666666666667,0.0754,20.26906531,,
2020-01-07,2020-01-09,Lelang,FR0076,bm30,2048-05-15,0.07375,0.0769,0.0773409,0.0788,0.0769,0.0771894,0.0773,15000000,1619800,81542200,1150000,59990000,1100000,20000000,1.4725454545454546,0.0772,28.3511753,,
2020-01-21,2020-01-23,Lelang,SPN03200422,spn03m,2020-04-22,Diskonto,0.039,0.041107,0.0449,0.039,0.0394,0.0395,15000000,21990000,94979700,15800000,71250000,1500000,20000000,14.66,0.044,0.25136612,,
2020-01-21,2020-01-23,Lelang,SPN12210108,spn12m,2021-01-08,Diskonto,0.0415,0.043268,0.0456,0.0415,0.0419333,0.042,15000000,21490000,94979700,14700000,71250000,1500000,20000000,14.326666666666666,0.046,0.964480874,,
2020-01-21,2020-01-23,Lelang,FR0081,bm05,2025-06-15,0.065,0.06,0.0608396,0.0616,0.06,0.0603855,0.0607,15000000,16649800,94979700,11800000,71250000,5550000,20000000,2.999963963963964,0.0607,5.397810219,,
2020-01-21,2020-01-23,Lelang,FR0082,bm10,2030-09-15,0.07,0.0677,0.0681062,0.0688,0.0677,0.0678497,0.0679,15000000,17223000,94979700,17050000,71250000,4200000,20000000,4.100714285714286,0.0681,10.6495769,,
2020-01-21,2020-01-23,Lelang,FR0080,bm15,2035-06-15,0.075,0.0725,0.0732528,0.075,0.0725,0.0730625,0.0731,15000000,5407000,94979700,3050000,71250000,2200000,20000000,2.4577272727272725,0.0731,15.39767283,,
2020-01-21,2020-01-23,Lelang,FR0083,bm20,2040-04-15,0.075,0.0738,0.0741612,0.0748,0.0738,0.0738714,0.074,15000000,6910300,94979700,4400000,71250000,2250000,20000000,3.0712444444444444,0.074,20.23073915,,
2020-01-21,2020-01-23,Lelang,FR0076,bm30,2048-05-15,0.07375,0.0755,0.0763764,0.0785,0.0755,0.0758645,0.076,15000000,5309600,94979700,4450000,71250000,2800000,20000000,1.8962857142857144,0.076,28.31284811,,
2020-02-04,2020-02-06,Lelang,SPN12200508,spn03m,2020-05-08,Diskonto,0.0349,0.0369959,0.0425,0.0349,0.0349,0.0349,15000000,16160000,96901400,13120000,57177142,1500000,21000000,10.773333333333332,0.04,0.256830601,,
2020-02-04,2020-02-06,Lelang,SPN12210205,spn12m,2021-02-05,Diskonto,0.0379,0.0389763,0.041,0.0379,0.03796,0.038,15000000,18800000,96901400,11800000,57177142,1500000,21000000,12.533333333333331,0.042,1.004103967,,
2020-02-04,2020-02-06,Lelang,FR0081,bm05,2025-06-15,0.065,0.0596,0.060028,0.065,0.0596,0.0597653,0.0599,15000000,19996000,96901400,14807142,57177142,4750000,21000000,4.209684210526316,0.0601,5.359489051,,
2020-02-04,2020-02-06,Lelang,FR0082,bm10,2030-09-15,0.07,0.066,0.0667744,0.071,0.066,0.0664232,0.0665,15000000,24167000,96901400,9950000,57177142,6500000,21000000,3.718,0.0665,10.61124938,,
2020-02-04,2020-02-06,Lelang,FR0080,bm15,2035-06-15,0.075,0.0713,0.0719,0.0723,0.0713,0.0716985,0.0718,15000000,9931100,96901400,3100000,57177142,3100000,21000000,3.2035806451612903,0.0717,15.35934292,,
2020-02-04,2020-02-06,Lelang,FR0083,bm20,2040-04-15,0.075,0.0734,0.0736341,0.0742,0.0734,0.0734999,0.0736,15000000,3912100,96901400,1900000,57177142,1900000,21000000,2.059,0.0735,20.19241298,,
2020-02-04,2020-02-06,Lelang,FR0076,bm30,2048-05-15,0.07375,0.0754,0.0767709,0.0785,0.0754,0.0756363,0.0758,15000000,3935200,96901400,2500000,57177142,1750000,21000000,2.248685714285714,0.0758,28.27452091,,
2020-02-18,2020-02-20,Lelang,SPN03200519,spn03m,2020-05-19,Diskonto,0.0249,0.0328518,0.04,0.0249,0.028932,0.0329,15000000,15740000,127119700,7880000,39530000,1500000,18500000,10.493333333333334,0.0345,0.24863388,,
2020-02-18,2020-02-20,Lelang,SPN12210205,spn12m,2021-02-05,Diskonto,0.034,0.0364368,0.0375,0.034,0.0352133,0.0362,15000000,17700000,127119700,7600000,39530000,1500000,18500000,11.8,0.037,0.964480874,,
2020-02-18,2020-02-20,Lelang,FR0081,bm05,2025-06-15,0.065,0.0565,0.0573923,0.0676,0.0565,0.0569222,0.0571,15000000,37244000,127119700,8600000,39530000,3600000,18500000,10.345555555555556,0.0571,5.321167883,,
2020-02-18,2020-02-20,Lelang,FR0082,bm10,2030-09-15,0.07,0.0648,0.065407,0.0663,0.0648,0.0651622,0.0652,15000000,25261000,127119700,5300000,39530000,3850000,18500000,6.561298701298702,0.0652,10.57292185,,
