iter	RMSE
0	1.30700471
1	1.252253402
2	1.200445771
3	1.149415678
4	1.104025943
5	1.062736155
6	1.01899259
7	0.9803407838
8	0.9417008442
9	0.9022822907
10	0.8681456175
11	0.8323502894
12	0.8017977919
13	0.7717441457
14	0.74103741
15	0.7134033115
16	0.6872072914
17	0.6612654309
18	0.636729108
19	0.6131877117
20	0.5914752961
21	0.5700220376
22	0.548647798
23	0.5278965166
24	0.5098757834
25	0.491556687
26	0.4736236991
27	0.456054441
28	0.4416248496
29	0.4272279126
30	0.4153552604
31	0.401569519
32	0.389522297
33	0.3776350979
34	0.3659846357
35	0.3555089199
36	0.3462937641
37	0.336398938
38	0.3277798962
39	0.3192565161
40	0.3109473185
41	0.3035819249
42	0.2958579189
43	0.288969894
44	0.2824262471
45	0.2757349583
46	0.2696068998
47	0.2638753614
48	0.2584173487
49	0.2533580197
50	0.2486317068
51	0.2443444179
52	0.2401908832
53	0.2357616557
54	0.2319705049
55	0.2283049442
56	0.2246701207
57	0.2212079463
58	0.2181435337
59	0.2149515524
60	0.2122433868
61	0.2094013575
62	0.2065210769
63	0.2039706851
64	0.2018255539
65	0.1996752442
66	0.1975086925
67	0.1952433372
68	0.1935524564
69	0.1914327012
70	0.1896485895
71	0.187774108
72	0.18575823
73	0.1839634107
74	0.1822511714
75	0.1804951457
76	0.1787839893
77	0.1773066035
78	0.1762536431
79	0.1747269729
80	0.1733393163
81	0.1721531587
82	0.1705285988
83	0.1691426879
84	0.1678908016
85	0.1666687076
86	0.1656488614
87	0.1648707847
88	0.1639350761
89	0.162999585
90	0.1619967317
91	0.1610501674
92	0.1601464508
93	0.1590288681
94	0.15816315
95	0.1572221168
96	0.1564473648
97	0.1556058818
98	0.1548045769
99	0.1539614835
100	0.1530805205
101	0.1524754547
102	0.151814
103	0.1510345787
104	0.1503506759
105	0.149633818
106	0.1490519497
107	0.1483615702
108	0.1479110472
109	0.1471028797
110	0.1464227506
111	0.1456932918
112	0.144951583
113	0.1444416585
114	0.1437770046
115	0.1433108186
116	0.1427482689
117	0.1423485294
118	0.1420390121
119	0.1413705478
120	0.1408012093
121	0.1399715395
122	0.1392549952
123	0.1387673825
124	0.1383844292
125	0.1380468862
126	0.137477978
127	0.1367148853
128	0.1362031264
129	0.1357659667
130	0.1350490839
131	0.1345791681
132	0.1341861937
133	0.1338003479
134	0.1333052358
135	0.1329386382
136	0.132496949
137	0.1321859346
138	0.1318660661
139	0.1315565994
140	0.1309716991
141	0.1305464033
142	0.1301872022
143	0.1299094979
144	0.12968538
145	0.1292705102
146	0.128952862
147	0.1285981272
148	0.1282298126
149	0.127955285
150	0.1277639857
151	0.127472526
152	0.1271428877
153	0.1266994393
154	0.1263475828
155	0.126016015
156	0.1257796716
157	0.1253821059
158	0.1251242583
159	0.1247845135
160	0.1245946866
161	0.124236815
162	0.1236021582
163	0.1232019439
164	0.1228850967
165	0.1226516751
166	0.1223459658
167	0.1218495971
168	0.1216168726
169	0.1214285757
170	0.1212384835
171	0.1210937382
172	0.1208695222
173	0.1206302543
174	0.1203693401
175	0.1201716769
176	0.1197304146
177	0.1194794284
178	0.1191257856
179	0.1187712134
180	0.1184189734
181	0.1181616572
182	0.1179856891
183	0.1174785672
184	0.117232848
185	0.1170833168
186	0.1168418597
187	0.1164632227
188	0.1162262049
189	0.1159727558
190	0.1157095773
191	0.1155690352
192	0.1154405169
193	0.1148169449
194	0.1145466157
195	0.1140970796
196	0.1138333798
197	0.1136212434
198	0.1131452992
199	0.1127786094
200	0.1126349522
201	0.1124072985
202	0.111900448
203	0.1113799202
204	0.1111835681
205	0.1109465107
206	0.1108049549
207	0.1106449477
208	0.110316655
209	0.1100301347
210	0.109930619
211	0.1096381506
212	0.1093223311
213	0.1092144762
214	0.1089889828
215	0.1087791163
216	0.1086015015
217	0.1084848104
218	0.1082295
219	0.1080850131
220	0.1076730248
221	0.1074718505
222	0.1070272353
223	0.1069238766
224	0.1067785575
225	0.1062802832
226	0.1058504783
227	0.105492964
228	0.105339327
229	0.1051171157
230	0.1047590455
231	0.1045650976
232	0.1044556483
233	0.1042012756
234	0.1040646544
235	0.1039231181
236	0.10374774
237	0.1035288117
238	0.1030602926
239	0.1027655086
240	0.1024133301
241	0.1020382808
242	0.1018760074
243	0.1016945027
244	0.1015610082
245	0.1014704268
246	0.101056542
247	0.1008354558
248	0.1004840191
249	0.1002368919
250	0.1001607672
251	0.09991826692
252	0.09976388862
253	0.09949474933
254	0.09913150192
255	0.09893621628
256	0.0987767737
257	0.09870306977
258	0.09840646013
259	0.09830231374
260	0.09808387343
261	0.09781381656
262	0.09766751738
263	0.09758556178
264	0.0970850424
265	0.09688296916
266	0.09654730218
267	0.09620844135
268	0.09601727966
269	0.09580659977
270	0.09571158984
271	0.09536445184
272	0.09494872267
273	0.09482189554
274	0.0946492293
275	0.09432172016
276	0.09425762053
277	0.09419553851
278	0.09401728483
279	0.09390182741
280	0.09359377316
281	0.09353359897
282	0.09332792195
283	0.09302421151
284	0.09288754925
285	0.09271014836
286	0.09256015809
287	0.09250364503
288	0.09233526222
289	0.09218918202
290	0.09195996731
291	0.0918889077
292	0.09181038491
293	0.09165832362
294	0.09145434498
295	0.09112884155
296	0.09097449882
297	0.09076343659
298	0.09069449122
299	0.09064058493
300	0.09048306455
301	0.09043419316
302	0.09022892167
303	0.08995923341
304	0.08966696931
305	0.0895814911
306	0.08947132053
307	0.08923260113
308	0.08918973562
309	0.08908645151
310	0.08892754223
311	0.08875458003
312	0.08859921401
313	0.08842167435
314	0.08827954444
315	0.08803012548
316	0.08786911463
317	0.08767875648
318	0.08743397515
319	0.08731748209
320	0.08708322409
321	0.0869539905
322	0.08683388107
323	0.08660762224
324	0.08655098762
325	0.08621728669
326	0.08617403259
327	0.08595488889
328	0.08581819634
329	0.08575115394
330	0.08557740104
331	0.08545260796
332	0.08525761107
333	0.08504792997
334	0.08472301455
335	0.08451820154
336	0.08431081944
337	0.08426942551
338	0.08406614429
339	0.08386862231
340	0.08376883477
341	0.08372251163
342	0.08348709415
343	0.08324872979
344	0.08307926715
345	0.08303634701
346	0.08281417862
347	0.08275195306
348	0.08248301734
349	0.08244499216
350	0.08239634431
351	0.08213096067
352	0.08196970014
353	0.08185646594
354	0.08166135424
355	0.08143056414
356	0.0812126337
357	0.08097837176
358	0.08088898871
359	0.08071828447
360	0.0805648566
361	0.08038384089
362	0.08022070714
363	0.08003386613
364	0.07995393179
365	0.0797677411
366	0.07956407596
367	0.07945619044
368	0.07930555511
369	0.0791005575
370	0.07894640066
371	0.07878688136
372	0.07863346256
373	0.07852548894
374	0.07838707748
375	0.07827878096
376	0.07813852195
377	0.07802190587
378	0.07788342273
379	0.07775851027
380	0.07765037184
381	0.07760021251
382	0.07753420058
383	0.07729879055
384	0.07716867958
385	0.07706045073
386	0.07693994203
387	0.07678040144
388	0.07674976286
389	0.07662365964
390	0.07643992341
391	0.07627196289
392	0.07618741766
393	0.07601483768
394	0.07590885618
395	0.07580150023
396	0.07563457169
397	0.07553356737
398	0.07539084369
399	0.07520967603
400	0.07508071514
401	0.07489758445
402	0.07480520147
403	0.07463761722
404	0.0745982149
405	0.07451959724
406	0.07442251745
407	0.07434015483
408	0.07419123292
409	0.07400408074
410	0.07386389307
411	0.07376889891
412	0.07365908655
413	0.07358620105
414	0.07337909934
415	0.07324745957
416	0.07309626018
417	0.07291920504
418	0.07274947159
419	0.07260052289
420	0.07252743368
421	0.07239400218
422	0.07223819998
423	0.07214835738
424	0.07204125414
425	0.071880266
426	0.07179429274
427	0.07170053445
428	0.07159616026
429	0.07146395495
430	0.07134392006
431	0.07122101142
432	0.07108904493
433	0.07095166343
434	0.0708219198
435	0.0706605501
436	0.07055719659
437	0.07052361301
438	0.07036037332
439	0.07025922582
440	0.07023495774
441	0.07021134125
442	0.07008581938
443	0.06993697687
444	0.06984197647
445	0.06967847567
446	0.06953112455
447	0.06940921456
448	0.06931972973
449	0.0691924194
450	0.0691664839
451	0.06903870904
452	0.06890074212
453	0.06880832206
454	0.06864619983
455	0.0685219417
456	0.06841745812
457	0.06828227877
458	0.068178361
459	0.06799052939
