iter	Passed	Remaining
0	55	27601
1	57	14198
2	59	9804
3	61	7645
4	64	6351
5	66	5492
6	68	4829
7	70	4344
8	73	3990
9	74	3652
10	76	3416
11	78	3189
12	79	2986
13	81	2838
14	82	2680
15	84	2546
16	85	2425
17	87	2332
18	88	2245
19	90	2181
20	91	2092
21	93	2039
22	95	1983
23	96	1922
24	98	1875
25	101	1851
26	103	1815
27	105	1783
28	107	1753
29	110	1727
30	112	1701
31	114	1667
32	115	1639
33	119	1632
34	121	1620
35	123	1593
36	124	1563
37	127	1544
38	128	1516
39	130	1499
40	132	1483
41	134	1464
42	136	1445
43	137	1429
44	139	1406
45	140	1389
46	143	1378
47	144	1361
48	145	1343
49	148	1335
50	150	1328
51	153	1324
52	155	1315
53	158	1310
54	162	1310
55	164	1302
56	165	1286
57	168	1284
58	170	1271
59	171	1260
60	173	1251
61	175	1242
62	177	1229
63	180	1227
64	181	1217
65	186	1227
66	188	1219
67	190	1213
68	192	1201
69	195	1197
70	196	1189
71	198	1179
72	201	1176
73	203	1169
74	207	1175
75	209	1170
76	212	1164
77	213	1154
78	215	1148
79	218	1144
80	222	1149
81	223	1140
82	227	1141
83	229	1138
84	233	1138
85	235	1134
86	237	1128
87	238	1118
88	242	1118
89	244	1113
90	245	1103
91	248	1103
92	251	1100
93	254	1100
94	257	1099
95	260	1095
96	265	1104
97	268	1099
98	270	1093
99	272	1090
100	275	1086
101	277	1084
102	280	1081
103	283	1079
104	287	1083
105	290	1078
106	295	1084
107	301	1092
108	303	1087
109	308	1094
110	315	1106
111	321	1114
112	327	1122
113	331	1120
114	336	1126
115	343	1136
116	349	1143
117	353	1145
118	357	1143
119	360	1141
120	362	1135
121	367	1138
122	370	1134
123	372	1129
124	377	1131
125	379	1125
126	382	1122
127	385	1120
128	388	1117
129	392	1116
130	394	1111
131	397	1107
132	401	1108
133	403	1102
134	406	1097
135	408	1093
136	410	1087
137	412	1082
138	416	1081
139	418	1076
140	420	1070
141	425	1071
142	427	1067
143	431	1067
144	433	1062
145	436	1058
146	439	1056
147	443	1054
148	448	1057
149	452	1054
150	469	1085
151	472	1082
152	475	1079
153	479	1076
154	481	1071
155	484	1068
156	487	1064
157	488	1056
158	492	1055
159	494	1050
160	495	1043
161	498	1039
162	501	1036
163	502	1030
164	506	1029
165	509	1024
166	513	1024
167	515	1018
168	518	1015
169	521	1011
170	523	1007
171	526	1003
172	528	998
173	530	994
174	534	992
175	537	989
176	545	994
177	547	990
178	549	984
179	552	981
180	554	976
181	560	979
182	563	976
183	565	971
184	568	967
185	569	961
186	574	961
187	576	957
188	578	951
189	579	946
190	581	941
191	590	946
192	594	945
193	605	955
194	606	948
195	609	945
196	612	941
197	614	936
198	617	933
199	625	938
200	629	936
201	631	931
202	633	927
203	636	923
204	640	921
205	641	916
206	644	911
207	647	908
208	649	904
209	651	899
210	652	893
211	654	889
212	656	884
213	659	882
214	665	881
215	667	877
216	668	871
217	672	869
218	675	866
219	677	862
220	679	857
221	680	852
222	683	848
223	694	855
224	695	850
225	698	846
226	700	842
227	702	837
228	707	836
229	709	832
230	712	829
231	714	824
232	720	825
233	725	825
234	728	822
235	731	818
236	739	820
237	752	828
238	758	827
239	760	823
240	762	819
241	766	816
242	768	812
243	771	809
244	774	805
245	776	801
246	778	797
247	782	795
248	784	791
249	789	789
250	791	785
251	803	791
252	807	788
253	810	785
254	814	782
255	815	777
256	818	773
257	830	779
258	833	775
259	836	771
260	837	766
261	840	763
262	841	758
263	843	754
264	845	750
265	848	746
266	850	741
267	851	736
268	852	732
269	855	728
270	857	724
271	858	720
272	860	715
273	862	711
274	864	707
275	868	705
276	872	702
277	873	697
278	875	693
279	878	690
280	881	686
281	882	682
282	886	679
283	889	676
284	892	673
285	895	670
286	897	665
287	898	661
288	902	659
289	914	661
290	915	657
291	917	653
292	919	649
293	921	645
294	924	642
295	926	638
296	927	634
297	929	630
298	933	627
299	936	624
300	938	620
301	939	616
302	942	612
303	944	609
304	947	605
305	948	601
306	949	597
307	951	592
308	952	588
309	954	584
310	956	581
311	959	577
312	961	574
313	963	570
314	965	566
315	966	562
316	969	559
317	971	556
318	974	552
319	976	549
320	977	545
321	979	541
322	982	538
323	995	540
324	998	537
325	1000	533
326	1002	530
327	1003	526
328	1004	522
329	1006	518
330	1008	514
331	1010	511
332	1012	507
333	1014	504
334	1016	500
335	1019	497
336	1020	493
337	1022	490
338	1034	491
339	1036	487
340	1037	483
341	1037	479
342	1039	475
343	1040	471
344	1043	468
345	1044	465
