tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code,owners_estimate
07/01/2020,bm05,5.431895962,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,9.831731691,869.6415,,,,0,,,,6.39
07/01/2020,bm20,20.26557153,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,36.68068447,869.6415,,,,0,,,,7.54
07/01/2020,bm10,10.68309377,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,19.33639972,869.6415,,,,0,,,,7.1
07/01/2020,bm30,28.34770705,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,51.30934976,869.6415,,,,0,,,,7.72
07/01/2020,spn03m,0.251882272,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,0.455906912,869.6415,,,,0,,,,4.65
07/01/2020,spn12m,0.999315537,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,1.808761122,869.6415,,,,0,,,,4.9
07/01/2020,bm15,15.43052704,1.81,1.546,13.85,62.79,96.671,0.15060241,3.951520367,13944,1.528,1565.74,2.72,0.264,0.018,65.29,7.217194,27.92925394,869.6415,,,,0,,,,7.45
21/01/2020,bm30,28.30937714,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,51.57968515,601.007,7.72,7.71894,14,1,1.472545455,1619800,1100000,7.6
21/01/2020,bm10,10.64476386,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,19.39475975,601.007,7.1,7.09341,14,1,4.497734375,28785500,6400000,6.81
21/01/2020,bm15,15.39219713,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,28.04458317,601.007,7.45,7.44384,14,1,1.951612903,6050000,3100000,7.31
21/01/2020,bm20,20.22724162,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,36.85403423,601.007,7.54,7.53888,14,1,3.216666667,2412500,750000,7.4
21/01/2020,bm05,5.393566051,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,9.827077345,601.007,6.39,6.37939,14,1,3.014938053,17034400,5650000,6.07
21/01/2020,spn03m,0.246406571,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,0.448952772,601.007,4.65,4.41733,14,1,8.8,13200000,1500000,4.4
21/01/2020,spn12m,0.960985626,1.822,1.56,12.1,49.67,97.606,0.146638317,3.526651514,13639,1.556,1560.77,2.72,0.262,0.004,59.975,7.057688,1.750915811,601.007,4.9,4.64067,14,1,8.293333333,12440000,1500000,4.6
04/02/2020,bm20,20.1889117,1.528,1.355,17.97,72.81,97.8,0.327463251,4.191529617,13742,1.562,1576.73,2.68,0.173,-0.207,65.615,6.949604,30.84865708,1308.3957,7.4,7.38714,14,2,3.071244444,6910300,2250000,7.35
04/02/2020,bm15,15.35386721,1.528,1.355,17.97,72.81,97.8,0.327463251,4.191529617,13742,1.562,1576.73,2.68,0.173,-0.207,65.615,6.949604,23.4607091,1308.3957,7.31,7.30625,14,2,2.457727273,5407000,2200000,7.17
04/02/2020,bm05,5.35523614,1.528,1.355,17.97,72.81,97.8,0.327463251,4.191529617,13742,1.562,1576.73,2.68,0.173,-0.207,65.615,6.949604,8.182800822,1308.3957,6.07,6.03855,14,2,2.999963964,16649800,5550000,6.01
04/02/2020,spn12m,0.999315537,1.528,1.355,17.97,72.81,97.8,0.327463251,4.191529617,13742,1.562,1576.73,2.68,0.173,-0.207,65.615,6.949604,1.526954141,1308.3957,4.6,4.19333,14,2,14.32666667,21490000,1500000,4.2
